Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143),[O]OC(F)F(128),CO2(13)
9.999999999999999e-09,0.2518295973798218,3.76,0.0,0.8993491520659159,0.9999999239980041,6.342826361634005e-24,7.052921680521918e-16,6.558680980808926e-08,5.063608811725477e-07,6.570539730941493e-08,4.961784114597596e-07,2.801847625944339e-13,3.6986291829751536e-14,1.0177693003405852e-08,1.0182152541733577e-08,1.14128668290141e-10,0.0
1.1175286434830074e-08,0.2518295973798218,3.76,0.0,0.8993490848323,0.9999999137342644,1.231496133752517e-23,1.098580245202068e-15,7.328234256322227e-08,5.658727583332181e-07,7.342896530839525e-08,5.531763230873752e-07,3.5057534544624e-13,4.140399671194127e-14,1.268975399974696e-08,1.2696043266500673e-08,1.4033457699954344e-10,0.0
1.2513550183109213e-08,0.25182960039363006,3.76,0.0,0.8993490082753877,0.9999999017123342,2.4202840922546142e-23,1.7245385067944271e-15,8.204229073486695e-08,6.336371571098705e-07,8.222409977824712e-08,6.177464918924868e-07,4.3994475941562133e-13,4.641557404870923e-14,1.588126800223909e-08,1.589017885705019e-08,1.728999131076396e-10,0.0
1.3851813931388352e-08,0.2518296034072869,3.76,0.0,0.8993489317184847,0.9999998893357067,4.441862278972632e-23,2.5854374824582102e-15,9.079949080621768e-08,7.014015475901811e-07,9.10198718750914e-08,6.819653397557601e-07,5.390041625696875e-13,5.14075491880681e-14,1.9423446140334345e-08,1.9435617422708933e-08,2.0821237193671985e-10,0.0
1.519007767966749e-08,0.25182960642079594,3.76,0.0,0.899348855161591,0.9999998766063778,7.70728268483719e-23,3.7334172377593474e-15,9.955409561325588e-08,7.691659297673097e-07,9.981634977033818e-08,7.458347781474648e-07,6.476243267016748e-13,5.6379679511198505e-14,2.3314308837965018e-08,2.3330447615838303e-08,2.461191126263958e-10,0.0
1.6528341427946628e-08,0.2518296094341608,3.76,0.0,0.8993487786047066,0.9999998635263249,1.276658889358481e-22,5.2256991668563316e-15,1.0830624952610555e-07,8.369303036344724e-07,1.0861360124783852e-07,8.093567081429216e-07,7.6567724701858e-13,6.133185393573287e-14,2.7551887295208553e-08,2.7572768482449496e-08,2.864757601914539e-10,0.0
1.7866605176225767e-08,0.25182961244738433,3.76,0.0,0.8993487020478316,0.9999998500975082,2.0335534693525823e-22,7.124550118687694e-15,1.1705608890837926e-07,9.046946691849406e-07,1.1741169370593459e-07,8.725330204773099e-07,8.930360342042622e-13,6.626431814670843e-14,3.213422343134751e-08,3.216068940727787e-08,3.2914594617550857e-10,0.0
1.9204868924504907e-08,0.2518296154604695,3.76,0.0,0.8993486254909656,0.9999998363218695,3.1324346984840544e-22,9.49724769313277e-15,1.258037425345641e-07,9.724590264120411e-07,1.262106941594523e-07,9.353655955989447e-07,1.0295751266203405e-12,7.117715693563047e-14,3.7059369829940765e-08,3.709233006081241e-08,3.7400089126484605e-10,0.0
2.0543132672784046e-08,0.2518296184734186,3.76,0.0,0.8993485489341091,0.9999998222013339,4.686899954496095e-22,1.2416045497125113e-14,1.3454933199075652e-07,1.0402233753091556e-06,1.3501066924171026e-07,9.97856303722987e-07,1.1751702859660999e-12,7.607027949053558e-14,4.2325389683156125e-08,4.236582034560268e-08,4.2091900455363586e-10,0.0
2.3219660169342324e-08,0.25182962449891716,3.76,0.0,0.8993483958204241,0.999999792933191,9.751816754717995e-22,2.0205615135558247e-14,1.5203477122480118e-07,1.1757520480872257e-06,1.526138079310703e-07,1.1218195490177323e-06,1.493037684509307e-12,8.579779851462717e-14,5.3872355207062715e-08,5.393092023401065e-08,5.204918849382573e-10,0.0
