Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5),CFO2(143)
9.999999999999999e-09,0.18138240816965231,3.76,0.0,0.9756803565141134,0.9999999999755629,2.3360723210829964e-35,4.47620832726701e-24,2.4326037804777355e-11,1.1713804225677726e-11,2.4326223075346808e-11,1.160287806828782e-11,1.064014732114378e-17,3.3940333772989925e-19,1.1072990726531553e-13,1.109151778392469e-13
1.3107199000000002e-08,0.18138240816965231,3.76,0.0,0.9756803565029152,0.9999999999679251,1.050557634765389e-34,1.2955463166227515e-23,3.18846222396165e-11,1.5353516496298598e-11,3.1885037297499576e-11,1.5163559159758318e-11,1.8339896598001286e-17,4.453514979859651e-19,1.8952349339615298e-13,1.8993855129218268e-13
1.6882072600000002e-08,0.18138240816979218,3.76,0.0,0.9756803564893106,0.9999999999586177,4.214052736898695e-34,3.4263244005454067e-23,4.1067394516443186e-11,1.9775329763394014e-11,4.1068267953438206e-11,1.9461153837623445e-11,3.047441249656564e-17,5.733296369943289e-19,3.132714409991596e-13,3.1414487802843086e-13
2.0656946200000004e-08,0.18138240816993195,3.76,0.0,0.9756803564757061,0.9999999999492792,1.2799269548487481e-33,7.481882261725322e-23,5.025016679303244e-11,2.419714303039835e-11,5.02517481611532e-11,2.3728023008377964e-11,4.563646385135081e-17,7.005058542729955e-19,4.674923168550952e-13,4.690736850506781e-13
2.4431819800000002e-08,0.18138240817007178,3.76,0.0,0.9756803564621015,0.99999999993991,3.279709339926719e-33,1.433008161733369e-22,5.943293906938048e-11,2.861895629731133e-11,5.943552912354307e-11,2.7964375909283573e-11,6.380432009990022e-17,8.26885571343995e-19,6.519257025161785e-13,6.545157568220813e-13
2.82066934e-08,0.18138240817021156,3.76,0.0,0.9756803564484969,0.9999999999305099,7.40774138497486e-33,2.503148172409447e-22,6.861571134548332e-11,3.304076956413267e-11,6.861966375422312e-11,3.217042913585176e-11,8.495548685174225e-17,9.52474403972202e-19,8.663021113295346e-13,8.702545203196401e-13
3.57564406e-08,0.1813824081704911,3.76,0.0,0.9756803564212878,0.9999999999116189,2.901333568198818e-32,6.273858846239296e-22,8.698125589693948e-11,4.1884396097499404e-11,8.698918148339157e-11,4.049240591677201e-11,1.3612785355336453e-16,1.2012993435670028e-18,1.3839272644950283e-12,1.3918528515744894e-12
4.3306187799999994e-08,0.18138240817077061,3.76,0.0,0.9756803563940787,0.9999999998926069,8.597287001628309e-32,1.3204572889109818e-21,1.0534680044736946e-10,5.0728022630496325e-11,1.0536071639919089e-10,4.869565884199525e-11,1.989764483115097e-16,1.4470248522941074e-18,2.018247411886021e-12,2.0321633650279177e-12
5.085593499999999e-08,0.18138240817104997,3.76,0.0,0.9756803563668696,0.9999999998734755,2.1542253076028373e-31,2.474885334309931e-21,1.2371234499674006e-10,5.957164916312115e-11,1.2373469940624549e-10,5.678196473155318e-11,2.733167546451172e-16,1.6896969626049906e-18,2.767055013136075e-12,2.789409425116343e-12
5.840568219999999e-08,0.1813824081713293,3.76,0.0,0.9756803563396604,0.9999999998542264,4.814757492243163e-31,4.2640426527784936e-21,1.4207788954501884e-10,6.84152756953716e-11,1.421115447442324e-10,6.475303950738853e-11,3.589705886222908e-16,1.9293601270472234e-18,3.62822008455674e-12,3.6618752880343416e-12
6.595542939999999e-08,0.1813824081716085,3.76,0.0,0.9756803563124513,0.99999999983486,9.849940224628874e-31,6.886441303998754e-21,1.6044343409217408e-10,7.725890222724567e-11,1.6049164620327205e-10,7.26105221120431e-11,4.557677683650798e-16,2.166056808846772e-18,4.599710063393012e-12,4.64792218137741e-12
7.350517659999998e-08,0.1813824081718876,3.76,0.0,0.9756803562852422,0.999999999815378,1.8783701638891517e-30,1.0565668541890828e-20,1.788089786381746e-10,8.610252875874127e-11,1.7887538457746645e-10,8.035600452754682e-11,5.635429959665979e-16,2.399828248298249e-18,5.679552338512719e-12,5.745958288370245e-12
8.105492379999998e-08,0.18138240817216655,3.76,0.0,0.9756803562580331,0.9999999997957818,3.368027533507976e-30,1.554638907669351e-20,1.9717452318298903e-10,9.494615528985643e-11,1.9726313689289347e-10,8.799106825976354e-11,6.821320670106227e-16,2.630715420766851e-18,6.865788541859662e-12,6.954402267310483e-12
8.860467099999998e-08,0.1813824081724453,3.76,0.0,0.9756803562308239,0.9999999997760722,5.7276274944830514e-30,2.2094166877432224e-20,2.1554006772658574e-10,1.0378978182058922e-10,2.1565527919640114e-10,9.551729570481246e-11,8.113706900871288e-16,2.8587593167881794e-18,8.156460394417745e-12,8.271671886327365e-12
9.999999999999998e-08,0.18138240817300252,3.76,0.0,0.9756803561897553,0.9999999997461114,1.1795325820986207e-29,3.559405198253953e-20,2.432603895832565e-10,1.171380478215129e-10,2.434248716287936e-10,1.0667444456219863e-10,1.026250658267734e-15,3.1976653137852293e-18,1.0298091729859586e-11,1.0462573810990716e-11
1.0370416539999998e-07,0.18138240817300252,3.76,0.0,0.9756803561764056,0.9999999997363181,1.4656776814957257e-29,4.1075140087958607e-20,2.5227115680999937e-10,1.2147703488089988e-10,2.524541941406955e-10,1.1024942259117342e-10,1.1011549067530245e-15,3.306477428875073e-18,1.1043470456571008e-11,1.122650782834228e-11
1.1729371035999999e-07,0.18138240817350346,3.76,0.0,0.9756803561274291,0.9999999997001642,3.0498104130531155e-29,6.665838172010033e-20,2.8532913698058933e-10,1.373955626338527e-10,2.855918514749024e-10,1.2315148642226056e-10,1.3967865632025897e-15,3.700097931196591e-18,1.3979961163959563e-11,1.4242675724931068e-11
