Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7)
2.0526193914693992e-08,0.2928113974243002,3.76,0.0,0.5032412535535231,0.9999999927606501,1.704188359871208e-19,1.755096625691794e-17,7.291059469631867e-08,7.106427959542828e-08,5.461727419531787e-09,6.737049150200378e-14,3.9682873934523576e-15,1.7743851978727897e-09,1.6947757634962353e-09,1.0188709251713491e-10,5.230618641899386e-11,5.417685394282789e-09,2.493061849269711e-11,2.083468894616418e-11
2.1881951510866516e-08,0.2928113976930071,3.76,0.0,0.5032412483665077,0.9999999921563524,2.3422157121700125e-19,2.2619241066746403e-17,7.773549587402369e-08,7.563380426853685e-08,5.832967394856539e-09,7.661020259574002e-14,4.2302266185621416e-15,2.012655086632003e-09,1.9166215814082973e-09,1.2298537419033727e-10,6.098156473129932e-11,5.775732260847818e-09,2.822775338013074e-11,2.520546190437998e-11
2.323770910703904e-08,0.29281139796184924,3.76,0.0,0.5032412431769453,0.9999999915367108,3.157800923710843e-19,2.870611011622658e-17,8.25623770096437e-08,8.01882185653057e-08,6.2065602050820175e-09,8.642830313517214e-14,4.491502783648263e-15,2.2654281380332115e-09,2.1509106006785153e-09,1.4675018860717442e-10,7.034345336077994e-11,6.133818582015929e-09,3.171918184613128e-11,3.014334579031563e-11
2.4593466703211564e-08,0.2928113982308347,3.76,0.0,0.5032412379846523,0.9999999909017738,4.18542171923742e-19,3.593752279171506e-17,8.739138819606001e-08,8.472757245450839e-08,6.582690483239118e-09,9.682211822566281e-14,4.752117549301367e-15,2.5326186551391584e-09,2.3974485101665144e-09,1.7332588075068187e-10,8.038610435201393e-11,6.491946686842987e-09,3.5403765165980495e-11,3.5681742083437047e-11
2.5949224299384088e-08,0.29281139849997123,3.76,0.0,0.5032412327894465,0.9999999902515899,5.463681883568752e-19,4.444628201314597e-17,9.222267817418715e-08,8.925191573842018e-08,6.9615411773239965e-09,1.077889825546123e-13,5.012073052114846e-15,2.8141413197265904e-09,2.6560434275627947e-09,2.0285453325900124e-10,9.110285936945739e-11,6.8501188905438325e-09,3.9280499270023995e-11,4.1853853858414666e-11
2.7304981895556612e-08,0.2928113987692667,3.76,0.0,0.5032412275911486,0.9999999895862078,7.035527058219065e-19,5.4371969776445995e-17,9.705639414467903e-08,9.376129805118461e-08,7.343293364202092e-09,1.1932624078699748e-13,5.271371379915848e-15,3.109911194617233e-09,2.9265058804487363e-09,2.354759869991075e-10,1.0248635856468889e-10,7.2083374944468594e-09,4.334851189370341e-11,4.8692685133024854e-11
2.8660739491729136e-08,0.2928113990387285,3.76,0.0,0.5032412223895792,0.9999999889056748,8.948461620434809e-19,6.586086639847897e-17,1.0189268163030299e-07,9.825576886435715e-08,7.728126119820429e-09,1.3143124745755544e-13,5.530014242740522e-15,3.4198437134400608e-09,3.208648754744786e-09,2.7132788707525995e-10,1.1452872421116665e-10,7.56660478630005e-09,4.760705912670531e-11,5.6231045256207516e-11
3.001649708790166e-08,0.29281139930836403,3.76,0.0,0.5032412171845626,0.999999988210039,1.1254761277984646e-18,7.906587592909584e-17,1.0673168437317319e-07,1.0273537748634744e-07,8.116216419586976e-09,1.441013666945224e-13,5.788003481677753e-15,3.74385468108981e-09,3.502287271572208e-09,3.105457065249754e-10,1.272216871665754e-10,7.924923040277462e-09,5.205552235940676e-11,6.450154900053219e-11
3.137225468407419e-08,0.29281139957818075,3.76,0.0,0.5032412119759244,0.9999999874993473,1.4011683606115707e-18,9.414645063835041e-17,1.1157354426664787e-07,1.0720017306373678e-07,8.507739074853478e-09,1.573339720694045e-13,6.045341195469432e-15,4.0818602709178375e-09,3.807238956190908e-09,3.532627760636988e-10,1.4055668472048264e-10,8.2832945170765e-09,5.6693405090914324e-11,7.353661795632785e-11
3.272801228024672e-08,0.2928113998481858,3.76,0.0,0.5032412067634919,0.9999999867736472,1.7281674996717037e-18,1.1126851871104906e-16,1.1641840130043733e-07,1.11650204579922e-07,8.902866680533677e-09,1.711264469310318e-13,6.302029294418086e-15,4.433777026600834e-09,4.12332361935582e-09,3.9961030408463707e-10,1.5452493548598408e-10,8.641721463884526e-09,6.15203299394279e-11,8.336848005234672e-11
3.4083769876419245e-08,0.29281140011838624,3.76,0.0,0.5032412015470956,0.9999999860329852,2.113257595096955e-18,1.3060441053099136e-16,1.2126639352126536e-07,1.1608552085613503e-07,9.301769580086198e-09,1.8547618433560457e-13,6.558069518828418e-15,4.799521859851625e-09,4.450363328127211e-09,4.497174048290335e-10,1.6911750690882533e-10,9.000206114461664e-09,6.653603550704967e-11,9.402917074253426e-11
