Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45),C2H2F3O2(908),C2HF3O(401),CH3-CF2(64),CHF2-CH2(63),CFO(50),FC1(F)CO1(1321),CH2O(19),CHF2-CHF(66),HCO(14),[O]O[C](F)F(171),C2H3F2O2(1300),O[C](F)F(239),H2O2(11),CF2CH(72),C2HF2O(1089)
6.504953420400616e-10,0.4821550614816564,3.76,0.0,0.7950982567292725,0.9999814195052773,3.821424823558999e-21,1.3697571232803725e-17,7.714850229103032e-12,7.712754776935399e-12,1.6756555002994028e-12,2.857843092892976e-20,6.041443782731636e-20,2.076375378033557e-15,2.0756942340992467e-15,1.0025026296729735e-18,9.875331680806076e-19,1.6758887155400526e-12,2.1963082253642332e-16,1.3073280474634081e-15,1.8932728340456213e-17,1.3644307623047475e-17,1.8643124395960577e-17,8.907069333350133e-27,8.2645896920823605e-25,2.1973316942424657e-19,1.2879898319273807e-24,9.767187778437612e-31,1.3070880646695563e-15,6.578819514783327e-28,1.962161034992824e-34,2.230010936373118e-24,1.88555625131626e-24,1.8580493044537853e-05,1.4223967644767862e-39,7.054887998297739e-30,2.982360067839892e-29,1.6891902505482966e-25,8.186355064425878e-21,6.53376049872556e-34,7.927123312586587e-43,5.24791146948969e-38,5.139234690153756e-40,1.5573459303278687e-22,1.0046822277828612e-39,2.3234807733721903e-39,4.870063030719458e-28,4.071338986119629e-37,7.1779410866848e-27,2.1321081736258955e-41,5.992930979937705e-28,1.8559581791668805e-20,2.285851185199073e-33,3.895567816243442e-36
6.711844929888956e-10,0.4821550614816777,3.76,0.0,0.7950982567289737,0.9999812178326888,4.198206486779571e-21,1.458476301604856e-17,7.96022278157517e-12,7.95799192884958e-12,1.728942102007425e-12,3.0968029955940816e-20,6.365265923329288e-20,2.2105308963876125e-15,2.209782744628454e-15,1.1012140213878573e-18,1.0834489065182299e-18,1.7291903770958855e-12,2.3382178368419475e-16,1.3489238885486601e-15,2.0158172913383073e-17,1.4526242273927675e-17,1.984776238334218e-17,9.6660131352393e-27,8.798671206316996e-25,2.336746862100488e-19,1.4148395822735287e-24,1.0719821718257086e-30,1.348660284630992e-15,7.151123909664173e-28,2.221311417465623e-34,2.409082207414586e-24,1.970621365579414e-24,1.87821655795557e-05,1.610172463452921e-39,7.749587964066674e-30,3.276060862733008e-29,1.7984681425522008e-25,8.446733295349512e-21,7.404793986296388e-34,8.910474572164381e-43,5.764824733559606e-38,5.646294103737113e-40,1.6970824184569611e-22,1.1094771959539075e-39,2.6337743936224464e-39,5.349610739260259e-28,4.472116700147165e-37,7.486233266906313e-27,2.4165495878861874e-41,6.576672666581382e-28,1.9758935871212377e-20,2.5108134877908625e-33,4.4150967008165365e-36
6.918736439377297e-10,0.482155061481699,3.76,0.0,0.795098256728675,0.9999810275199899,4.599003263377678e-21,1.549992082770869e-17,8.205595334339906e-12,8.203224843059612e-12,1.7822282229984295e-12,3.3473780734432926e-20,6.694153686781775e-20,2.348884228670843e-15,2.3480648139848426e-15,1.2062002033447108e-18,1.1853469556193599e-18,1.78249202833982e-12,2.484568393109853e-16,1.3905212301054768e-15,2.1422168378309794e-17,1.5435807611143942e-17,2.1090103458804875e-17,1.0465930039410219e-26,9.349475250406097e-25,2.4802890164398807e-19,1.5497561675947461e-24,1.1732455719345789e-30,1.3902325039451672e-15,7.755162308227903e-28,2.505311028141532e-34,2.5958616342582874e-24,2.0561382515813377e-24,1.8972478225054562e-05,1.815949189309735e-39,8.488453099554748e-30,3.588436782829109e-29,1.9111784071109155e-25,8.707112712367054e-21,8.360097807467283e-34,9.978331334073395e-43,6.314619396054953e-38,6.185735501765453e-40,1.8441718514567402e-22,1.2214133539427195e-39,2.974176078271724e-39,5.859644044629258e-28,4.898357841392265e-37,7.795537772303647e-27,2.7285429919101096e-41,7.196723161912617e-28,2.09958383055724e-20,2.7500614836586386e-33,4.9849209551782926e-36
7.125627948865638e-10,0.48215506148172027,3.76,0.0,0.7950982567283762,0.9999808479272961,5.0245605658041664e-21,1.6443056231461168e-17,8.450967887415202e-12,8.448453519638797e-12,1.835513863937265e-12,3.609723732362044e-20,7.02791625834299e-20,2.491435240178884e-15,2.4905401766473163e-15,1.3176543892502018e-18,1.2934025623469972e-18,1.835793669865478e-12,2.6353597833401597e-16,1.4321201183606055e-15,2.2724726005725956e-17,1.637300478986428e-17,2.2370146971317114e-17,1.130786485197229e-26,9.917002079919975e-25,2.627944268226899e-19,1.692988271198601e-24,1.2806921176734094e-30,1.4318047226120871e-15,8.391773491618189e-28,2.815698277757549e-34,2.7903855759004618e-24,2.1420686482127745e-24,1.9152070865348487e-05,2.0408415727506975e-39,9.2728438168489e-30,3.9200633761065084e-29,2.0273217221731568e-25,8.967493370078512e-21,9.404932349680637e-34,1.1134838567535822e-42,6.898310071761985e-38,6.758572832864454e-40,1.9987262469328453e-22,1.3407269192848222e-39,3.3465762859252705e-39,6.401101861685047e-28,5.350845406900172e-37,8.105750418601999e-27,3.069812391270889e-41,7.854128172474461e-28,2.2270289087696415e-20,3.004033718654159e-33,5.6081841809968794e-36
7.332519458353978e-10,0.4821550614817416,3.76,0.0,0.7950982567280774,0.9999806784507671,5.475624114661904e-21,1.7414180790600548e-17,8.696340440819544e-12,8.693677958660387e-12,1.8887990254561506e-12,3.883989521496513e-20,7.36637000127316e-20,2.638183796241153e-15,2.637208567143384e-15,1.4357697805781558e-18,1.4077904434965447e-18,1.8890953022333442e-12,2.7905918968115247e-16,1.47372059953931e-15,2.4065857066042666e-17,1.7337834961245618e-17,2.3687892270236388e-17,1.219286235121387e-26,1.0501251962943457e-24,2.779698775139036e-19,1.8447845756928304e-24,1.3945049412635307e-30,1.4733769406317573e-15,9.061796228137429e-28,3.154057621505932e-34,2.9926873017061227e-24,2.228377544735045e-24,1.9321547341086544e-05,2.285997659900635e-39,1.0104120470338964e-29,4.271516184176979e-29,2.1468987656597445e-25,9.227875323081634e-21,1.0544716412376155e-33,1.2384188479620409e-42,7.516911441829021e-38,7.365821348475499e-40,2.160853406960862e-22,1.4676533911802352e-39,3.752923413854032e-39,6.974923057848304e-28,5.830362293131784e-37,8.416777789702885e-27,3.44213408609904e-41,8.549929181456216e-28,2.3582288210938365e-20,3.27316863074196e-33,6.288125012322009e-36
7.539410967842319e-10,0.4821550614817629,3.76,0.0,0.7950982567277787,0.9999805185205749,5.9529399386951325e-21,1.8413306068004522e-17,8.94171299457194e-12,8.938898160197585e-12,1.9420837081565387e-12,4.170319353534721e-20,7.709338186805139e-20,2.7891297622161786e-15,2.7880697200444776e-15,1.56073956657168e-18,1.528684787264881e-18,1.942396925972632e-12,2.950264622900953e-16,1.5153227198653724e-15,2.544557282954745e-17,1.833029927239922e-17,2.5043338705264816e-17,1.312196728763104e-26,1.1102225180064686e-24,2.9355387413999043e-19,2.005393762852692e-24,1.5148671676485856e-30,1.5149491580041827e-15,9.766069273269334e-28,3.522019545215172e-34,3.2027972538850098e-24,2.315032904651956e-24,1.9481477479541337e-05,2.5525989081610003e-39,1.0983643356736083e-29,4.643370742294113e-29,2.269910215463612e-25,9.488258625971888e-21,1.178502713220151e-33,1.373061816973439e-42,8.171438254070795e-38,8.008497634181447e-40,2.3306570766646194e-22,1.602427547135653e-39,4.1952238308797495e-39,7.58204645311613e-28,6.337691297129358e-37,8.728536124673294e-27,3.8473366688636653e-41,9.285163463322684e-28,2.4931835669035892e-20,3.557904550023319e-33,7.02807709222307e-36
7.74630247733066e-10,0.4821550614817842,3.76,0.0,0.7950982567274799,0.9999803675989904,6.457254374777922e-21,1.9440443626102765e-17,9.187085548691897e-12,9.18411412432356e-12,1.9953679126108735e-12,4.468851716735759e-20,8.056650734269914e-20,2.9442730034873433e-15,2.943123369961673e-15,1.6927569242450912e-18,1.6562592548145846e-18,1.9956985415830435e-12,3.1143778510762936e-16,1.5569265255610918e-15,2.686388456636296e-17,1.935039886635976e-17,2.6436485626408538e-17,1.4096224383954602e-26,1.1719922024364484e-24,3.095450417615309e-19,2.1750645134931226e-24,1.6419619144983867e-30,1.5565213747293689e-15,1.0505431369700055e-27,3.921260551534882e-34,3.420743287668314e-24,2.40200541304018e-24,1.963239901053558e-05,2.8418601823832472e-39,1.1912772715089961e-29,5.036202579361203e-29,2.396356749449814e-25,9.748643333342484e-21,1.3131599908257472e-33,1.517840740076607e-42,8.862905323272867e-38,8.687619641037859e-40,2.5082370968290446e-22,1.7452834448371912e-39,4.67554191029855e-39,8.223410820075597e-28,6.8736151176810294e-37,9.040950319792187e-27,4.287301022168968e-41,1.006086409839201e-27,2.631893145608897e-20,3.858679698760208e-33,7.83146904943111e-36
7.953193986819e-10,0.4821550614818054,3.76,0.0,0.7950982567271812,0.9999802251785731,6.989314067901849e-21,2.049560502684864e-17,9.432458103199451e-12,9.429325851111448e-12,2.0486516393642586e-12,4.779719878982347e-20,8.408143960999733e-20,3.1036133854590087e-15,3.102369251541804e-15,1.832015018385647e-18,1.790686981833353e-18,2.0490001495364355e-12,3.2829314708893117e-16,1.5985320628472842e-15,2.8320803546409225e-17,2.0398134882057874e-17,2.786733238394062e-17,1.5116678335175384e-26,1.2354342801406248e-24,3.2594201006104473e-19,2.3540455073455304e-24,1.7759722922126174e-30,1.5980935908073203e-15,1.1280721247337982e-27,4.3535031461248805e-34,3.646550891077911e-24,2.4892682453481262e-24,1.977481937443968e-05,3.1550297513512776e-39,1.2892868726805054e-29,5.450587217938657e-29,2.526239045455541e-25,1.0009029499784378e-20,1.4590328327378437e-33,1.673187648108261e-42,9.592327531496078e-38,9.404206716909749e-40,2.6936895507715686e-22,1.8964544285392803e-39,5.196000062843394e-39,8.899954883916533e-28,7.4389163564842945e-37,9.353953033780989e-27,4.763960316566313e-41,1.087805998736237e-27,2.7743575566539664e-20,4.175932191399248e-33,8.701824474985267e-36
8.160085496307341e-10,0.48215506148182674,3.76,0.0,0.7950982567268824,0.9999800907804658,7.54986597116297e-21,2.157880183169356e-17,9.67783065811514e-12,9.67453334063435e-12,2.1019348889360196e-12,5.103052084156879e-20,8.763660341640906e-20,3.2671507735529914e-15,3.2658070994639132e-15,1.9787070015551158e-18,1.932140580088633e-18,2.102301750278385e-12,3.455925371969276e-16,1.6401393779432842e-15,2.981634103936909e-17,2.1473508454295885e-17,2.9335878328367135e-17,1.6184373808568064e-26,1.3005487829226364e-24,3.4274341332681957e-19,2.542585422939057e-24,1.917081403924395e-30,1.639665806238043e-15,1.2092777623332363e-27,4.820515823848276e-34,3.880243386024827e-24,2.5767968558363267e-24,1.9909217428323686e-05,3.493389284562396e-39,1.3925291515655758e-29,5.887100174251e-29,2.65955778129012e-25,1.026941717988625e-20,1.616726408944772e-33,1.8395384251864027e-42,1.0360719828381058e-37,1.0159279637813759e-39,2.8871069056881516e-22,2.0561731393256643e-39,5.758778769685109e-39,9.61261732244366e-28,8.0343775193084e-37,9.667483885519548e-27,5.27930000838165e-41,1.1737775865787874e-27,2.92057679951531e-20,4.510100034595664e-33,9.642761898883394e-36
8.366977005795681e-10,0.482155061481848,3.76,0.0,0.7950982567265836,0.9999799639527845,8.139657345748108e-21,2.2690045601563867e-17,9.923203213460014e-12,9.919736592965333e-12,2.155217661821185e-12,5.438971741130112e-20,9.123048276521755e-20,3.4348850332053606e-15,3.433436648436043e-15,2.1330260140911787e-18,2.080792138977506e-18,2.155603344229669e-12,3.6333594440170323e-16,1.681748517066944e-15,3.1350508314656806e-17,2.2576520713726486e-17,3.084212281039634e-17,1.7300355443713545e-26,1.3673357438325086e-24,3.5994789043684454e-19,2.7409329374861554e-24,2.0654723455037028e-30,1.6812380210215422e-15,1.2942439202090727e-27,5.324113054968295e-34,4.121842112325659e-24,2.664568783988073e-24,2.003604505600705e-05,3.858253849295036e-39,1.501140114780065e-29,6.34631695819348e-29,2.796313634735032e-25,1.0529806428234526e-20,1.7868616932746622e-33,2.0173326174526257e-42,1.1169097231452754e-37,1.0953860639265834e-39,3.0885781486820347e-22,2.2246715286636917e-39,6.36611661547175e-39,1.0362336766088049e-27,8.660781017155829e-37,9.981488734665062e-27,5.835357837558056e-41,1.2641032318503934e-27,3.070550873699947e-20,4.861621127237231e-33,1.0657994766736343e-35
8.573868515284022e-10,0.4821550614818694,3.76,0.0,0.7950982567262849,0.9999798442690997,8.759435760920604e-21,2.3829347896839958e-17,1.0168575769255638e-11,1.0164935608177455e-11,2.2084999584918823e-12,5.787597605640506e-20,9.486161868734858e-20,3.606816029863537e-15,3.605257633192308e-15,2.295165184108705e-18,2.2368132270718475e-18,2.2089049317876636e-12,3.8152335767995334e-16,1.723359526434635e-15,3.292331664138933e-17,2.3707172786834224e-17,3.238606518091051e-17,1.8465667852520035e-26,1.4357951971657873e-24,3.775540848428447e-19,2.9493367267723348e-24,2.2213282055606946e-30,1.7228102351578223e-15,1.3830544675295306e-27,5.866155271348805e-34,4.371366596087572e-24,2.7525634773642977e-24,2.0155728687419926e-05,4.2509719079508876e-39,1.6152557631795932e-29,6.828813073338333e-29,2.93650728354391e-25,1.0790197299413376e-20,1.9700754559337218e-33,2.2070132513251736e-42,1.2018474826425034e-37,1.1788973447634304e-39,3.298188917675349e-22,2.4021808747333055e-39,7.020310321406277e-39,1.1150051797918012e-27,9.318909167422827e-37,1.0295919036613386e-26,6.434223825513357e-41,1.3588845794002513e-27,3.2242797787437094e-20,5.2309332604682104e-33,1.1751331416425909e-35
8.780760024772363e-10,0.48215506148189063,3.76,0.0,0.7950982567259861,0.9999797313270012,9.409949094005496e-21,2.4996720277337543e-17,1.0413948325524075e-11,1.041013038634374e-11,2.261781779398655e-12,6.149043955331576e-20,9.852860709605889e-20,3.782943628983669e-15,3.781269788490263e-15,2.465317627500886e-18,2.4003748936587996e-18,2.2622065133276624e-12,4.001547660144792e-16,1.7649724522612454e-15,3.453477728836014e-17,2.4865465795919476e-17,3.3967704790940367e-17,1.9681355619242952e-26,1.5059271784627162e-24,3.9556064455441186e-19,3.1680454650499178e-24,2.3848320654489016e-30,1.7643824486468888e-15,1.4757932721918491e-27,6.448548852658595e-34,4.6288347037881926e-24,2.840762129507468e-24,2.0268670732381172e-05,4.672925315658579e-39,1.735012091860805e-29,7.335164016940678e-29,3.080139405442554e-25,1.1050589848004712e-20,2.1670202560478946e-33,2.4090266607897337e-42,1.2909867767505305e-37,1.2665643311498488e-39,3.5160216273960107e-22,2.588931801066865e-39,7.723714778362655e-39,1.1976700953649467e-27,1.000954419505916e-36,1.0610731264134494e-26,7.078040273013003e-41,1.458222861875745e-27,3.38176351420963e-20,5.618474117713297e-33,1.2926675054766654e-35
8.987651534260703e-10,0.482155061481912,3.76,0.0,0.7950982567256873,0.9999796247467465,1.0091945530374253e-20,2.6192174302290804e-17,1.06593208822879e-11,1.0655320927537197e-11,2.315063124971706e-12,6.523420758204543e-20,1.0223009672233513e-19,3.963267696028255e-15,3.9614728491085055e-15,2.6436764479402612e-18,2.5716476702765695e-18,2.3155080892041167e-12,4.192301583937215e-16,1.806587340760184e-15,3.6184901524015614e-17,2.6051400859084828e-17,3.5587040991641865e-17,2.094846330050368e-26,1.5777317245074508e-24,4.1396622212322956e-19,3.397307824935676e-24,2.5561669992683223e-30,1.8059546614887474e-15,1.5725442008237402e-27,7.073246112579514e-34,4.894262783265262e-24,2.9291475316164874e-24,2.037525093361246e-05,5.1255293181255975e-39,1.8605450901625612e-29,7.865945279944156e-29,3.227210678128934e-25,1.1310984128588182e-20,2.3783644342079408e-33,2.623822323278357e-42,1.3844291277699171e-37,1.3584897033012728e-39,3.742155590625103e-22,2.785154297085445e-39,8.478743080040497e-39,1.2843222721655774e-27,1.0733468233727003e-36,1.0925886388793218e-26,7.769001758058227e-41,1.5622189011500122e-27,3.543002079686443e-20,6.024681274701548e-33,1.4188023734171795e-35
9.194543043749044e-10,0.4821550614819332,3.76,0.0,0.7950982567253886,0.999979524169983,1.080617356342906e-20,2.7415721530337365e-17,1.0904693439570186e-11,1.0900507231830826e-11,2.368343995622069e-12,6.910833834734032e-20,1.0596478712796757e-19,4.147788096464018e-15,4.145866549844532e-15,2.830434736879637e-18,2.7508015722455816e-18,2.368809659751815e-12,4.387495238113308e-16,1.8482042381433756e-15,3.787370061643337e-17,2.7264979090223674e-17,3.72440731342751e-17,2.226803542530735e-26,1.651208873327315e-24,4.327694746273885e-19,3.6373724773122e-24,2.73551607386843e-30,1.8475268736834026e-15,1.6733911187847636e-27,7.742245285018354e-34,5.16766579272872e-24,3.0177039368220942e-24,2.04758276435386e-05,5.610232549724947e-39,1.9919907416670662e-29,8.421732346986256e-29,3.3777217792732004e-25,1.1571380195741184e-20,2.6047921050178938e-33,2.851852703709078e-42,1.4822760649115183e-37,1.454776299927586e-39,3.9766671348830554e-22,2.991077740162155e-39,9.287866556158181e-39,1.375055554297715e-27,1.149146332695911e-36,1.1241349415969095e-26,8.509355133789511e-41,1.670973109744578e-27,3.707995474787151e-20,6.44999219949031e-33,1.553947032932303e-35
9.401434553237384e-10,0.48215506148195447,3.76,0.0,0.7950982567250898,0.9999794292585439,1.1553381994586755e-20,2.866737351950488e-17,1.1150065997394514e-11,1.1145689299297599e-11,2.4216243917427164e-12,7.311385013885268e-20,1.0973142679337395e-19,4.336504695759964e-15,4.334450625512789e-15,3.0257855735529123e-18,2.9380061001950157e-18,2.422111225286985e-12,4.587128512657714e-16,1.889823190621264e-15,3.9601185833302865e-17,2.8506201599010794e-17,3.893880057018529e-17,2.3641116495059675e-26,1.7263586641920894e-24,4.519690636557889e-19,3.888488091232891e-24,2.9230623488510898e-30,1.8890990852308598e-15,1.7784178901676282e-27,8.457590510322512e-34,5.449057418813201e-24,3.1064169359918798e-24,2.057073902916834e-05,6.128517031802854e-39,2.1294850242009313e-29,9.003100696403392e-29,3.531673386517684e-25,1.1831778104038868e-20,2.8470031496469082e-33,3.093573106279997e-42,1.5846291243269544e-37,1.555527121370619e-39,4.2196297147262827e-22,3.206930918883972e-39,1.0153614805684425e-38,1.4699637811329642e-27,1.2284311429316298e-36,1.1557088967931387e-26,9.301399526405294e-41,1.784585492247078e-27,3.8767436991476815e-20,6.894844252489165e-33,1.6985202513844413e-35
9.608326062725725e-10,0.4821550614819758,3.76,0.0,0.7950982567247911,0.9999793396933103,1.2334319933262402e-20,2.9947141827199185e-17,1.1395438555784963e-11,1.1390867130010491e-11,2.4749043137096034e-12,7.725172283262238e-20,1.1352881127736144e-19,4.529417359385679e-15,4.52722481094294e-15,3.229922024975819e-18,3.1334302415847474e-18,2.4754127861083428e-12,4.79120129759957e-16,1.9314442444028143e-15,4.136736844190766e-17,2.9775069490894866e-17,4.0671222650785535e-17,2.5068750983582954e-26,1.8031811376133366e-24,4.715636552926284e-19,4.150903333830406e-24,3.11898887657339e-30,1.930671296131125e-15,1.8877083777994215e-27,9.221371821499355e-34,5.738450184601833e-24,3.195273344085626e-24,2.066030420910666e-05,6.681898171193953e-39,2.2731639098361833e-29,9.610625800235764e-29,3.6890661774769094e-25,1.2092177908054113e-20,3.105713208384469e-33,3.3494415336319183e-42,1.6915898491390945e-37,1.6608453327421886e-39,4.471114019819422e-22,3.4329420572209605e-39,1.1078575730108341e-38,1.569140787311371e-27,1.3112794407544247e-36,1.1873076910004474e-26,1.0147486333096018e-40,1.9031556467240948e-27,4.0492467524256165e-20,7.359674686483814e-33,1.8529502736980183e-35
9.999999999999999e-10,0.4821550614820184,3.76,0.0,0.7950982567242256,0.9999791837183273,1.3907775882071206e-20,3.244695741919038e-17,1.1859962385788599e-11,1.1855010709925686e-11,2.5757691992752e-12,8.545108182520365e-20,1.2079789139124956e-19,4.906118090719809e-15,4.903646612999433e-15,3.641126201362007e-18,3.526503053693006e-18,2.57631992229543e-12,5.189696442837444e-16,2.0102445131332337e-15,4.4817008652148106e-17,3.225292226270984e-17,4.405416114185819e-17,2.792456757702875e-26,1.9531974691832858e-24,5.09735912558248e-19,4.679519633122795e-24,3.5135048700849015e-30,2.0093731780889055e-15,2.106584664634512e-27,1.0807586203346557e-33,6.30826175347824e-24,3.363841373979712e-24,2.0816279090946458e-05,7.831169074290825e-39,2.5625877570930066e-29,1.0834430698232827e-28,3.9964585358681767e-25,1.2585155754082216e-20,3.643281909908827e-33,3.8742193186264294e-42,1.907060367898466e-37,1.8731025185912788e-39,4.970785129852761e-22,3.8894389159590945e-39,1.3001260966414663e-38,1.7689201587156272e-27,1.4781592272214667e-36,1.2471878051661236e-26,1.190582614005218e-40,2.141554486452857e-27,4.3861014295178134e-20,8.295927601133857e-33,2.1738639165290622e-35
1.0022109081702406e-09,0.4821550614820184,3.76,0.0,0.7950982567241937,0.9999791754140072,1.4000382310717753e-20,3.259107362462427e-17,1.188618367436304e-11,1.1881210081466457e-11,2.5814627366065397e-12,8.59282868375228e-20,1.2121122194184535e-19,4.927830341498983e-15,4.92534245047495e-15,3.6653239790463605e-18,3.549610757765812e-18,2.58201589472264e-12,5.212664958995493e-16,2.0146928407053398e-15,4.501587090133868e-17,3.2395745824589854e-17,4.4249148151961014e-17,2.8091857974402474e-26,1.961844300376643e-24,5.119325331126107e-19,4.710627363465373e-24,3.536714863457726e-30,2.0138157159900966e-15,2.119415946796847e-27,1.090283221415319e-33,6.341283972960186e-24,3.373369174950505e-24,2.082458340538361e-05,7.900178969548604e-39,2.579619349931598e-29,1.0906448127852828e-28,4.014178020858663e-25,1.2612983421517591e-20,3.6755716803087225e-33,3.905467186325036e-42,1.9197405024841193e-37,1.8855974284016058e-39,4.999917349923815e-22,3.9163484353793314e-39,1.3116778922198878e-38,1.780676452604871e-27,1.4879792026454438e-36,1.2505699753309375e-26,1.2011454120175929e-40,2.1555656396931243e-27,4.4055173444653425e-20,8.35101917062759e-33,2.1931410834279507e-35
1.039451379878142e-09,0.4821550614820568,3.76,0.0,0.795098256723656,0.9999790429986503,1.5622714737273347e-20,3.506688598248935e-17,1.2327854283271219e-11,1.2322504248810403e-11,2.6773636990646994e-12,9.419896223730666e-20,1.2821935862289774e-19,5.300751215760473e-15,5.2979758415107816e-15,4.08916913831782e-18,3.953969129209507e-18,2.677958679026085e-12,5.607164277381544e-16,2.0896242273741146e-15,4.843198121911232e-17,3.4848912738274025e-17,4.7598190282111215e-17,3.1009704555488173e-26,2.1103621530213406e-24,5.496021417228058e-19,5.255518306514048e-24,3.9431649490333705e-30,2.0886456916498234e-15,2.3433759544744777e-27,1.2603704329969507e-33,6.911303402986542e-24,3.5340351848589564e-24,2.0956998665860796e-05,9.132548323456399e-39,2.8779445426619554e-29,1.216791732956318e-28,4.318554325466375e-25,1.3081715414417873e-20,4.252372632157776e-33,4.458921864124138e-42,2.1418531305701066e-37,2.104533225011927e-39,5.5056407874418885e-22,4.388433263690607e-39,1.5180825858763102e-38,1.9865990289841646e-27,1.6599803089051596e-36,1.3075682845219053e-26,1.3898509546336021e-40,2.400681107724093e-27,4.73900238916592e-20,9.315939586620674e-33,2.537513199425297e-35
1.0766918515860432e-09,0.4821550614820951,3.76,0.0,0.7950982567231183,0.9999789237054855,1.736599499326118e-20,3.763397492375584e-17,1.2769524894410857e-11,1.2763784690206243e-11,2.7732631304321634e-12,1.029121173585731e-19,1.3531034852646113e-19,5.687265246113423e-15,5.684181064793851e-15,4.5444817092316145e-18,4.3875638464148e-18,2.77390145200053e-12,6.016045900894525e-16,2.164563140840828e-15,5.197364629482966e-17,3.739166769153209e-17,5.106935297585518e-17,3.4120546611090153e-26,2.264300183876142e-24,5.885310175629106e-19,5.8408872209497966e-24,4.3796135529016e-30,2.1634756652127268e-15,2.582454579757344e-27,1.4496109652599678e-33,7.507397706191499e-24,3.695006631764742e-24,2.1076291734333095e-05,1.0503724239843744e-38,3.198422224184735e-29,1.3523083869444025e-28,4.634090602300469e-25,1.3550454398057646e-20,4.894479521090699e-33,5.0654488736577656e-42,2.3804741150370247e-37,2.3398796516420167e-39,6.039958196007749e-22,4.896956067440508e-39,1.7479637183732897e-38,2.207811550582402e-27,1.8447426849643974e-36,1.3646149408839533e-26,1.5999620185094365e-40,2.663390274148589e-27,5.0846530751035395e-20,1.0352385195879202e-32,2.9209143561455384e-35
1.1139323232939446e-09,0.4821550614821335,3.76,0.0,0.7950982567225806,0.9999788162340112,1.9234603019256975e-20,4.029240782761705e-17,1.3211195507940303e-11,1.3205051406079333e-11,2.8691610324038477e-12,1.1207225614005271e-19,1.4247865113419267e-19,6.0873716478292274e-15,6.083956574231041e-15,5.032387216907676e-18,4.851362087800824e-18,2.86984421487268e-12,6.439309189408317e-16,2.239509850542579e-15,5.564093182284965e-17,4.00240169781207e-17,5.4662632451374445e-17,3.7430474517016094e-26,2.4236586740269466e-24,6.287115417629469e-19,6.468184253142537e-24,4.847127974799669e-30,2.238305636678837e-15,2.8371408650321183e-27,1.659389484475198e-33,8.129609088672242e-24,3.856239053004651e-24,2.1183763112178856e-05,1.2023751605834488e-38,3.541845175663758e-29,1.4975303673340009e-28,4.9607908022040255e-25,1.401920069062454e-20,5.606634805844121e-33,5.727800688165885e-42,2.6361959114654454e-37,2.5922447388459096e-39,6.603194695487744e-22,5.443230753916217e-39,2.0030418063655441e-38,2.4448610900364993e-27,2.0427220132094823e-36,1.4217015663543506e-26,1.8330389153625623e-40,2.9442594801907453e-27,5.442469400921014e-20,1.1462902168294508e-32,3.3461844642252135e-35
1.1511727950018459e-09,0.4821550614821718,3.76,0.0,0.7950982567220429,0.999978719412684,2.1232921987689688e-20,4.304225206619282e-17,1.3652866124023048e-11,1.364630439685501e-11,2.9650574065612063e-12,1.216835809634767e-19,1.4971909550196243e-19,6.501069636100521e-15,6.497300823802963e-15,5.554011058242689e-18,5.346325764587252e-18,2.965786968750676e-12,6.87695350305889e-16,2.314464625900911e-15,5.94339034923633e-17,4.2745966847350416e-17,5.837802492668317e-17,4.0945578360561054e-26,2.5884379175512193e-24,6.701361414319619e-19,7.138859523074943e-24,5.346775438617332e-30,2.3131356060481827e-15,3.1079238394795994e-27,1.8911387233797934e-33,8.777973502568445e-24,4.0176945652254966e-24,2.1280584342947818e-05,1.370302571534666e-38,3.909006117919228e-29,1.652793260132429e-28,5.298658875728612e-25,1.448795461028253e-20,6.393745785317204e-33,6.44874905701296e-42,2.9096110510504755e-37,2.8622384974149116e-39,7.19565370062934e-22,6.028567311790139e-39,2.2850988369398848e-38,2.6982946703717077e-27,2.254373893051645e-36,1.4788212818247954e-26,2.0906968129605406e-40,3.243850910623811e-27,5.812451365409159e-20,1.2650035545872806e-32,3.8162627400340356e-35
