Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13)
9.11228599382695e-13,0.2786656873885909,3.76,0.0,0.5530755302159126,0.9999999999999997,0.0,0.0,1.8726320867335446e-10,1.8726277323055814e-10,1.8653327115615132e-22,1.866068922671169e-21,2.4239555477495128e-20,4.3541687726084656e-16,4.3541669072757547e-16,2.0884029234058097e-35
1e-12,0.27866568739186487,3.76,0.0,0.5530755301976695,0.9999999999999996,0.0,0.0,2.0550628985419017e-10,2.0550576457963346e-10,2.0470524221756567e-22,2.252316568403395e-21,2.923666944235476e-20,5.252432724466873e-16,5.2524306774144515e-16,3.5637925698766983e-35
1.2149716375010358e-12,0.27866568739186487,3.76,0.0,0.5530755301534915,0.9999999999999993,0.0,0.0,2.4968431348834785e-10,2.4968357067435283e-10,2.4871106333257194e-22,3.1876661101091753e-21,4.133783901200282e-20,7.427697182348032e-16,7.4276946952374e-16,7.136642902848609e-35
1.8224577137377172e-12,0.27866568739841274,3.76,0.0,0.5530755300286493,0.9999999999999984,0.0,0.0,3.7452652309668344e-10,3.745249851955135e-10,3.7306664766895572e-22,6.614757106943933e-21,8.554331909201352e-20,1.5378093849228927e-15,1.5378090118562447e-15,4.388139489311767e-34
2.4299437899743987e-12,0.27866568740496056,3.76,0.0,0.553075529903807,0.9999999999999976,0.0,0.0,4.993687326710942e-10,4.993661171055855e-10,4.974222319795559e-22,1.1274388647264887e-20,1.4541977136677274e-19,2.6154093119755224e-15,2.61540881455329e-15,1.4731113600804398e-33
3.0374298662110802e-12,0.2786656874115084,3.76,0.0,0.5530755297789648,0.999999999999996,0.0,0.0,6.242109422091574e-10,6.242069462186953e-10,6.217778162625377e-22,1.7262881091674235e-20,2.220638183641453e-19,3.99575175719918e-15,3.995751135421364e-15,3.981063188921522e-33
4.252402018684443e-12,0.2786656874246041,3.76,0.0,0.5530755295292804,0.9999999999999925,0.0,0.0,8.738953611739568e-10,8.738876770383676e-10,8.704889847439539e-22,3.336590019975834e-20,4.2655427742947035e-19,7.683676539746879e-15,7.683675669257894e-15,2.2322304328182193e-32
6.68234632363117e-12,0.2786656874507955,3.76,0.0,0.5530755290299115,0.9999999999999815,0.0,0.0,1.3732641986609722e-09,1.3732454517644927e-09,1.3679113213709187e-21,8.22927731495773e-20,1.0382200994105095e-18,1.8745777334252797e-14,1.8745775966341475e-14,2.3290866977858118e-31
9.112290628577897e-12,0.27866568747698695,3.76,0.0,0.5530755285305426,0.9999999999999654,0.0,0.0,1.872633035557368e-09,1.8725983064129276e-09,1.8653336575500153e-21,1.5396302122369372e-19,1.9191851060880974e-18,3.472707315750864e-14,3.472707129217499e-14,1.0040907985646707e-30
1e-11,0.27866568752936977,3.76,0.0,0.5530755283481128,0.9999999999999583,0.0,0.0,2.0550628941548856e-09,2.0550210998807265e-09,2.0470524188447224e-21,1.8608152468525115e-19,2.3074312086013303e-18,4.1791782693839326e-14,4.17917806467869e-14,1.8258879769247666e-30
1.397217923847135e-11,0.27866568752936977,3.76,0.0,0.553075527531805,0.9999999999999186,0.0,0.0,2.8713707075788335e-09,2.8712892601739395e-09,2.8601783285675657e-21,3.687081060685961e-19,4.4799984389901116e-18,8.144255904799714e-14,8.144255618781879e-14,9.043123197984106e-30
2.3691956458258256e-11,0.27866568763413535,3.76,0.0,0.5530755255343297,0.9999999999997661,0.0,0.0,4.8688460445365665e-09,4.8686121481463595e-09,4.8498676652566694e-21,1.104013132289907e-18,1.2741645279257646e-17,2.338825493986279e-13,2.3388254454876023e-13,1.3871217797156437e-28
4.313151089783207e-11,0.27866568784366663,3.76,0.0,0.553075521539379,0.9999999999992253,0.0,0.0,8.863796690111612e-09,8.863021863043599e-09,8.829246317384512e-21,3.955721579839836e-18,4.13913534979276e-17,7.747817297692459e-13,7.747817209399997e-13,2.9663835725016755e-27
8.20106197769797e-11,0.27866568826272925,3.76,0.0,0.5530755135494779,0.9999999999971994,0.0,0.0,1.6853697867899302e-08,1.6850897153946425e-08,1.6788003537701528e-20,1.6360306865929942e-17,1.4396422687447245e-16,2.8005536451342715e-12,2.800553628346269e-12,7.666070359205541e-26
9.999999999999999e-11,0.2786656886817919,3.76,0.0,0.5530755098525473,0.999999999995836,0.0,0.0,2.0550628491739972e-08,2.054646450574615e-08,2.0470523852913198e-20,2.5609116276231937e-17,2.1051751273648906e-16,4.163749887657281e-12,4.163749867186757e-12,2.106733481298951e-25
1.2088972865612735e-10,0.2786656886817919,3.76,0.0,0.5530755055595769,0.9999999999939149,0.0,0.0,2.4843598894535986e-08,2.4837513729033145e-08,2.4746760647487698e-20,3.913499686029278e-17,3.02958484124716e-16,6.084823434102633e-12,6.084823409355872e-12,4.456133457066793e-25
1.5976883753527496e-10,0.27866568910085454,3.76,0.0,0.5530754975696759,0.9999999999893721,0.0,0.0,3.2833499770019974e-08,3.282287177755837e-08,3.2705517648681054e-20,7.416038461130391e-17,5.132056071410553e-16,1.062740512831203e-11,1.0627405095606512e-11,1.6191246651808e-24
1.9864794641442258e-10,0.2786656895199171,3.76,0.0,0.5530754895797753,0.9999999999835711,0.0,0.0,4.0823400494349494e-08,4.080697149479473e-08,4.0664274543284886e-20,1.2321312234979937e-16,7.6982037233077315e-16,1.642810656192775e-11,1.642810652126347e-11,4.5205917489118704e-24
2.764061641727178e-10,0.2786656903580421,3.76,0.0,0.5530754735999742,0.9999999999681952,0.0,0.0,5.6803201489538513e-08,5.677139665877624e-08,5.658178802015045e-20,2.6912110732509383e-16,1.4064098876805968e-15,3.180315528780069e-11,3.1803155231218897e-11,2.2168726999083254e-23
3.5416438193101304e-10,0.27866569119616724,3.76,0.0,0.5530754576201737,0.999999999947789,0.0,0.0,7.278300188008865e-08,7.27307907855514e-08,7.249930109414683e-20,4.884714233511258e-16,2.1807553395330184e-15,5.2208425382826e-11,5.220842531032671e-11,7.235078953238699e-23
4.3192259968930827e-10,0.27866569203429226,3.76,0.0,0.553075441640374,0.999999999922354,0.0,0.0,8.87628016659848e-08,8.868515552171404e-08,8.841681378217996e-20,7.913897308905475e-16,3.0649383405534604e-15,7.764228803069274e-11,7.764228794227593e-11,1.8856271385989166e-22
5.096808174476035e-10,0.2786656928724172,3.76,0.0,0.5530754256605748,0.9999999998918917,0.0,0.0,1.0474260084721194e-07,1.0463449249925633e-07,1.0433432610100729e-19,1.1855584859924055e-15,4.037722385568066e-15,1.0810312477822034e-10,1.0810312467388602e-10,4.247523260996935e-22
6.65197252964194e-10,0.27866569454866713,3.76,0.0,0.5530753937009782,0.9999999998158922,0.0,0.0,1.3670219739560205e-07,1.3651808943598274e-07,1.3616934969529806e-19,2.2661849629478158e-15,6.197520147368392e-15,1.8409949604704526e-10,1.8409949591087593e-10,1.6646640961446478e-21
8.051620449291255e-10,0.27866569605729186,3.76,0.0,0.5530753649373435,0.9999999997303154,0.0,0.0,1.6546583222104059e-07,1.65196147572374e-07,1.6482086982999733e-19,3.598189249667307e-15,8.31260560191101e-15,2.696727380278884e-10,2.696727378630676e-10,4.330913772338519e-21
9.45126836894057e-10,0.27866569756591647,3.76,0.0,0.5530753361737107,0.9999999996284754,0.0,0.0,1.9422946508712777e-07,1.9385794032959085e-07,1.934723890206396e-19,5.2899837113402796e-15,1.0535904754599823e-14,3.7150893182261786e-10,3.715089316291455e-10,9.616149780318522e-21
9.999999999999999e-10,0.2786656990745408,3.76,0.0,0.5530753248969358,0.999999999584113,0.0,0.0,2.055062399158969e-07,2.0509035287053398e-07,2.0470521000751372e-19,6.0540922894756774e-15,1.1429512234294407e-14,4.1586956193755544e-10,4.158695617328503e-10,1.2743221473692449e-20
1.0850916288589884e-09,0.2786656990745408,3.76,0.0,0.5530753074100797,0.999999999510381,0.0,0.0,2.2299309599378018e-07,2.2250347692569594e-07,2.221239073618757e-19,7.353806362394049e-15,1.2832646701013554e-14,4.895988818151004e-10,4.895988815929766e-10,1.9084577647274027e-20
1.3650212127888513e-09,0.2786657020917894,3.76,0.0,0.5530752498828237,0.9999999992254667,0.0,0.0,2.8052035192845195e-07,2.7974581848596183e-07,2.794269418745183e-19,1.2622489225661255e-14,1.7572995116774122e-14,7.745032471640233e-10,7.745032468845964e-10,6.05632866896675e-20
1.6449507967187143e-09,0.27866570510903754,3.76,0.0,0.5530751923555757,0.9999999988756458,0.0,0.0,3.380476000244031e-07,3.3692324593118757e-07,3.3672997412444937e-19,1.9445674177771308e-14,2.2409885584921152e-14,1.124312237685346e-09,1.1243122373486161e-09,1.5353878103023939e-19
2.0539440654026006e-09,0.27866570951741004,3.76,0.0,0.5530751083049621,0.999999998247997,0.0,0.0,4.2209821361593566e-07,4.203462107219004e-07,4.204530070254573e-19,3.223669641989609e-14,2.95544973683917e-14,1.7519411023278715e-09,1.7519411019074187e-09,4.670038762790887e-19
2.462937334086487e-09,0.2786657139257816,3.76,0.0,0.5530750242543653,0.9999999974821799,0.0,0.0,5.061488104709543e-07,5.036309903374551e-07,5.041760390628789e-19,4.839482336779384e-14,3.671711459718799e-14,2.5177350197448625e-09,2.517735019240687e-09,1.1601885937239067e-18
2.8719306027703733e-09,0.27866571833415205,3.76,0.0,0.5530749402037852,0.9999999965784231,0.0,0.0,5.901993905876159e-07,5.867778136776739e-07,5.878990725870521e-19,6.791574165024231e-14,4.3877057343645283e-14,3.4214651127492155e-09,3.4214651121613176e-09,2.4907750103271666e-18
3.2809238714542596e-09,0.27866572274252155,3.76,0.0,0.5530748561532217,0.9999999955369554,0.0,0.0,6.742499539641864e-07,6.697869092454405e-07,6.716221099442366e-19,9.078806839441298e-14,5.103306331917838e-14,4.462902888645746e-09,4.462902887974125e-09,4.8199265106554395e-18
3.689917140138146e-09,0.27866572715088983,3.76,0.0,0.5530747721026751,0.9999999943580047,0.0,0.0,7.583005005990516e-07,7.526585051728902e-07,7.553451534768836e-19,1.1699984706083088e-13,5.818552230624783e-14,5.641820224299503e-09,5.641820223544158e-09,8.623869604253371e-18
4.507903677505919e-09,0.27866573596762345,3.76,0.0,0.553074604001632,0.9999999915885652,0.0,0.0,9.264015436378971e-07,9.179901088534114e-07,9.227912684200624e-19,1.793975073293296e-13,7.24719903124031e-14,8.411182869466569e-09,8.411182868543776e-09,2.3222044998569416e-17
