Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125)
7.720465284029768e-08,0.08377808198707108,3.76,0.0,0.5028767392078756,0.9974144619731212,7.759698578337254e-05,0.00015185869208773323,0.0021402373939855535,0.0007951934123367694,0.0009908087174855058,1.3741757139402845e-08,2.998894802957106e-10,0.00031412499403305773,0.00037094112906524163,0.0004975375484389745,2.0678777816088235e-05,4.1623505712964775e-05,3.406199395286645e-06,0.0003829379237804399,0.000117293441305069,1.2992905270325143e-05,2.015441088233895e-06,1.4842111234046477e-07,2.4335623847829056e-06,2.6706518879147918e-08,4.307421229166532e-08,5.431250987085772e-10,5.799686598153875e-06,2.097333444393256e-08,6.304194288208085e-13,9.419602373976476e-09,2.1069648064715945e-10,0.0014910923485559637,3.4381793725157456e-15,1.7263529889493725e-10,3.3187738478951638e-09
7.865557959709505e-08,0.08377888823509873,3.76,0.0,0.5028033108030503,0.9973804052609414,8.221193827183744e-05,0.0001572002848499881,0.0021911489643293156,0.0008006498615527759,0.0010315801374231534,1.3897403457870368e-08,3.020867724126238e-10,0.0003184476932992619,0.00037649371755495603,0.0005176605693482073,2.1001898239202332e-05,4.258951272875284e-05,3.5515732386720835e-06,0.00039759431485204973,0.00012097769987217497,1.3821301822212389e-05,2.181509329597023e-06,1.6444661412378997e-07,2.6303968032394823e-06,2.7806915279786022e-08,4.6934211764716624e-08,5.913711325795378e-10,5.94533368647458e-06,2.3222548343118416e-08,6.865190483713843e-13,9.753464385644427e-09,2.179621374618682e-10,0.001491041456946666,3.8139022104398045e-15,1.8293946873802796e-10,3.558832629315577e-09
8.010650635389243e-08,0.08377969904959466,3.76,0.0,0.50272914820791,0.9973460501698848,8.698768531927718e-05,0.00016257358545465378,0.0022423709417192152,0.0008059287434309784,0.0010730259731963686,1.4048343496751824e-08,3.042128466100829e-10,0.0003226651674144265,0.00038191094924045464,0.0005380905127557455,2.1317270540531288e-05,4.355958451043283e-05,3.699484245396636e-06,0.00041244142120540046,0.0001246647221179308,1.4683883485466417e-05,2.359109521980531e-06,1.8179995336281334e-07,2.837838190578344e-06,2.8925490021842998e-08,5.110445938436928e-08,6.432583982633419e-10,6.094507502994947e-06,2.5657357622896506e-08,7.468552941393009e-13,1.0094026114333497e-08,2.2537557418953235e-10,0.0014909901187322636,4.221441037155958e-15,1.9361776817702415e-10,3.810290695928039e-09
8.15574331106898e-08,0.08378051432280069,3.76,0.0,0.502654262819791,0.9973114041559861,9.192519267496752e-05,0.00016797527803242478,0.0022938967166120706,0.000811035656329846,0.0011151331737036172,1.4194695334487255e-08,3.0626987375420554e-10,0.00032677938001769605,0.00038719403054638144,0.0005588205250146177,2.1624954536902067e-05,4.453356419262325e-05,3.849884230416464e-06,0.00042747421259923786,0.00012835247528147242,1.5581236243252905e-05,2.5487876281367692e-06,2.0055670645143183e-07,3.056132273076301e-06,3.0061886410681706e-08,5.560577302658949e-08,6.990319061461137e-10,6.247387188518034e-06,2.8288317673566228e-08,8.117133289315602e-13,1.0441476007339632e-08,2.329412159999743e-10,0.0014909383450740785,4.662675899638897e-15,2.0467479241428793e-10,4.073380059812822e-09
8.300835986748718e-08,0.08378133394794625,3.76,0.0,0.5025786660299989,0.997276474464453,9.702532962794594e-05,0.0001734021168434658,0.0023457197471114777,0.0008159760214346684,0.001157888693697974,1.4336576030214443e-08,3.08259962577542e-10,0.0003307923346481103,0.00039234428842240747,0.0005798438100161084,2.1925017721957522e-05,4.5511297777452434e-05,4.002724940780901e-06,0.00044268775421726827,0.00013203901507665295,1.651393596625852e-05,2.7510971633276567e-06,2.2079457999827854e-07,3.2855176323204564e-06,3.121574792058484e-08,6.045992209736487e-08,7.589511621193962e-10,6.404155097370785e-06,3.1126284358652975e-08,8.813952289074794e-13,1.0796014459611538e-08,2.4066374130402567e-10,0.001490886146818523,5.1395449419881005e-15,2.161150815195711e-10,4.348328368620505e-09
8.445928662428456e-08,0.083782157819342,3.76,0.0,0.5025023692108668,0.9972412681344339,0.00010228887102938507,0.00017885092794332888,0.0023978335653984037,0.000820755088384762,0.001201279507784166,1.4474101411383364e-08,3.10185161071234e-10,0.00033470606620354687,0.00039736315858292286,0.0006011536353207772,2.2217534544143156e-05,4.649263418155602e-05,4.157958114336353e-06,0.0004580772084010883,0.00013572248417951605,1.7482548370312097e-05,2.966598550136614e-06,2.4259338122698327e-07,3.5262255013102685e-06,3.238671857808246e-08,6.568963999203754e-08,8.232906995984199e-10,6.564996630520963e-06,3.418241024382668e-08,9.562206085410715e-13,1.115785387163497e-08,2.485480823638466e-10,0.001490833534503676,5.65404396361455e-15,2.2794312541937145e-10,4.635358901828752e-09
8.591021338108193e-08,0.08378298583246549,3.76,0.0,0.50242538370385,0.9972057920037769,0.00010771649936039763,0.00018431861060445954,0.0024502317834922873,0.0008253779407211134,0.0012452926233584832,1.4607385890442115e-08,3.1204745788532913e-10,0.00033852263316698776,0.0004022521745162817,0.0006227433376984388,2.2502585731389405e-05,4.7477425272135635e-05,4.315535534084007e-06,0.0004736378359916643,0.00013940111059211,1.8487628985826396e-05,3.1958584702617303e-06,2.660349863112374e-07,3.778479585807414e-06,3.357444331635795e-08,7.131863544801286e-08,8.923405998941926e-10,6.73010006659194e-06,3.746814054903826e-08,1.0365272320117338e-12,1.1527218692081289e-08,2.565994255870295e-10,0.0014907805183656357,6.208225929618151e-15,2.4016336869791736e-10,4.934690578624017e-09
8.736114013787931e-08,0.08378381788403715,3.76,0.0,0.5023477208085851,0.997170052713774,0.00011330880683826208,0.00018980213851058195,0.0025029080983885333,0.0008298495011605175,0.001289915092560335,1.4736542307474845e-08,3.13848783731537e-10,0.0003422441105408154,0.000407012957217474,0.0006446063281172721,2.2780257659717633e-05,4.8465525893102304e-05,4.475409078472458e-06,0.0004893649973158849,0.00014307320590122897,1.9529723138308947e-05,3.4394492151643396e-06,2.9120330677950514e-07,4.042495909951187e-06,3.477856830256338e-08,7.737160278646804e-08,9.66406999245392e-10,6.899656391300735e-06,4.099520884232835e-08,1.1226716090168075e-12,1.1904345445335822e-08,2.6482321150867104e-10,0.0014907271083468322,6.80420043686882e-15,2.5278021520958524e-10,5.246537976544679e-09
8.881206689467669e-08,0.08378465387208868,3.76,0.0,0.502269391772854,0.9971340567138814,0.00011906629755470985,0.00019529856073970464,0.0025558562966146075,0.0008341745367018723,0.0013351340232982366,1.4861681796070884e-08,3.1559101278374855e-10,0.000345872583435497,0.0004116472056018457,0.0006667360962188496,2.3050641763221214e-05,4.945679388222539e-05,4.637530767882053e-06,0.0005052541528510503,0.00014673716344854856,2.060936593925384e-05,3.6979480373352284e-06,3.1818425411972745e-07,4.318482685145068e-06,3.5998741239760395e-08,8.387423104159442e-08,1.0458125809078603e-09,7.073859125814619e-06,4.477563249314568e-08,1.2150295730959793e-12,1.2289482744057908e-08,2.732251344660411e-10,0.0014906733141029195,7.444133139177985e-15,2.6579803250343257e-10,5.571111360074309e-09
9.026299365147406e-08,0.08378549369602374,3.76,0.0,0.5021904077833893,0.9970978102664045,0.00012498938964052744,0.00020080500255004963,0.002609070258243423,0.000838357663569942,0.0013809365894073868,1.498291367006558e-08,3.1727596407329765e-10,0.00034941014126428416,0.00041615668756100443,0.0006891262143127282,2.3313833983086307e-05,5.045109008011175e-05,4.801852807534915e-06,0.0005213008635967506,0.00015039145642665373,2.1727082286785754e-05,3.971936503824362e-06,3.47065702709492e-07,4.606640201216123e-06,3.7234611645103344e-08,9.085321197881397e-08,1.130897050794517e-09,7.2529041544905296e-06,4.882170790234337e-08,1.313996840679053e-12,1.2682891286959412e-08,2.8181114197123964e-10,0.0014906191450085955,8.130245134802073e-15,2.7922115606217804e-10,5.908616718422898e-09
9.171392040827144e-08,0.08378633725667167,3.76,0.0,0.5021107799574719,0.9970613194511455,0.00013107841745116212,0.00020631866598221622,0.002662543960400294,0.0008424033520016654,0.0014273100399921205,1.510034532903794e-08,3.18905402875461e-10,0.0003528588724992327,0.0004205432316244772,0.0007117703409220171,2.3569934253461988e-05,5.144827833177214e-05,4.968327627048696e-06,0.0005375007911811659,0.00015403463591405462,2.2883386875466586e-05,4.2619998535803025e-06,3.779374511936267e-07,4.907160738839641e-06,3.8485831105691415e-08,9.833624700609629e-08,1.2220175952483755e-09,7.436989552435709e-06,5.314600552553494e-08,1.4199895491798012e-12,1.3084843842021352e-08,2.9058743378788487e-10,0.0014905646101656996,8.864812319413301e-15,2.9305389335925196e-10,6.2592558117729586e-09
9.316484716506882e-08,0.08378718445633451,3.76,0.0,0.5020305193352639,0.9970245901700016,0.00013733363376831353,0.0002118368302902987,0.0027162714802982106,0.000846315930880005,0.0014742417080041532,1.5214082180604523e-08,3.204810420837927e-10,0.0003562208599461715,0.00042480871919211525,0.0007346622239100036,2.3819046022071926e-05,5.2448225481487116e-05,5.136907916842516e-06,0.0005538496977272538,0.0001576653288613301,2.4078784214697428e-05,4.568726360062437e-06,4.108911824290492e-07,5.220228502208594e-06,3.975205351345537e-08,1.0635205298521057e-07,1.3195493196144622e-09,7.626315413307049e-06,5.77613647061928e-08,1.5334447725464822e-12,1.3495625215402328e-08,2.995604607182637e-10,0.0014905097184104473,9.650164707593896e-15,3.0730052773783277e-10,6.623226225293884e-09
9.461577392186619e-08,0.08378803519882813,3.76,0.0,0.5019496368728339,0.9969876281515145,0.00014375521201278387,0.00021735685221407693,0.002770246997834676,0.0008500995922202399,0.0015217190181051673,1.532422757769986e-08,3.220045435704003e-10,0.000359498176498563,0.00042895507730368924,0.0007577957032165528,2.4061275803543932e-05,5.3450801361640814e-05,5.3075466615939795e-06,0.0005703434455027259,0.00016128223603960372,2.5313768655171054e-05,4.892706700506091e-06,4.460204221143143e-07,5.546019570921678e-06,4.103293528045957e-08,1.14930366952303e-07,1.423885666364159e-09,7.821083677745707e-06,6.268088833453833e-08,1.6548210127833196e-12,1.391553220632351e-08,3.0873692310804827e-10,0.0014904544783186943,1.0488685725815968e-14,3.2196532211580296e-10,7.0007214302554765e-09
9.606670067866357e-08,0.08378888938951745,3.76,0.0,0.5018681434358212,0.9969504389553613,0.00015034324846419466,0.00022287616610367262,0.002824464797781498,0.0008537583955134529,0.0015697294938593984,1.5430882769208192e-08,3.2347751952994926e-10,0.0003626928813329462,0.00043298427191392456,0.0007811647132313442,2.4296732763541565e-05,5.4455878776140255e-05,5.480197170934328e-06,0.0005869779963759095,0.00016488412996150558,2.6588824422859018e-05,5.234533333130645e-06,4.834204962180213e-07,5.8847018700686046e-06,4.2328135535862636e-08,1.2410194975957675e-07,1.5354388116207557e-09,8.021497962820113e-06,6.79179373478153e-08,1.7845986660776395e-12,1.434487354824307e-08,3.181237690763338e-10,0.0014903988982135278,1.1382811479774452e-14,3.3705252252089723e-10,7.391930851603835e-09
