Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144),O2(176),FC1OC1(F)F(245),CH2F-CF2(67),C2H2F3(1125),CH2CF2(56),CH2F(45)
1.397610559829067e-09,0.08584565488970054,3.76,0.0,0.6098707499349937,0.9999780871902355,3.5006970306919964e-18,1.3749674154512395e-15,6.0786813074864e-11,6.058858890877532e-11,1.5003943808666402e-11,3.895300236231935e-17,4.372971135565777e-18,1.9589327432469312e-13,1.9591937433609017e-13,4.1234321629316984e-16,3.369150394381396e-16,1.5074404020258718e-11,6.925485801750868e-14,2.697196446801914e-15,1.8680933911468607e-15,1.3110192545629638e-15,1.7736396211282173e-15,8.745312768300418e-24,6.746455689198519e-23,1.8521993069490843e-17,1.4036502522066592e-21,4.200827183304342e-28,2.4890953441502475e-15,1.8313391679612668e-25,2.5993774953598603e-30,4.280320808476819e-22,2.5854063810970855e-23,2.1912794421713498e-05,4.837607509011855e-35,2.8251635783846083e-26,1.1366090258624704e-25,2.817444543622666e-25,5.202411307566428e-20
1.4605370822006109e-09,0.08584565488974419,3.76,0.0,0.609870749931578,0.9999780871870411,4.001661425559848e-18,1.5047840554033395e-15,6.35237109993079e-11,6.330724940203805e-11,1.5676209957636527e-11,4.2706674245093945e-17,4.580038747609101e-18,2.1388780218970009e-13,2.1391764326226774e-13,4.705171040516142e-16,3.8118382457304986e-16,1.5753134241908256e-11,7.561748539005471e-14,2.838623783129755e-15,2.0433487848608483e-15,1.4317653043236565e-15,1.9367594015782685e-15,9.973070121582965e-24,7.371766121296408e-23,2.0001629606152405e-17,1.6017924664341063e-21,4.7918024010609835e-28,2.60116495505926e-15,2.088613926834955e-25,3.0975450732627515e-30,4.685961658827642e-22,2.7058523104110535e-23,2.191279691267989e-05,5.76875985175709e-35,3.2232856762284125e-26,1.2968292434647495e-25,3.214537516217036e-25,5.437859631621266e-20
1.545967053605428e-09,0.08584565488980346,3.76,0.0,0.6098707499269407,0.9999780871843273,4.756202471250172e-18,1.690856892824915e-15,6.723936671535514e-11,6.699686315818607e-11,1.6588441629126425e-11,4.807909382040209e-17,4.861076860877834e-18,2.3957642784752617e-13,2.3961190275143537e-13,5.57896008395384e-16,4.468067325620477e-16,1.6674591712893348e-11,8.470086144606233e-14,3.034866889578203e-15,2.2943193726500503e-15,1.6042010040760269e-15,2.16966766686903e-15,1.1816103229793789e-23,8.266044880688927e-23,2.2073507222155295e-17,1.89944128305015e-21,5.679008592575239e-28,2.753312262073958e-15,2.474845836438826e-25,3.884065991815391e-30,5.266075838107091e-22,2.869422450847157e-23,2.19127986696416e-05,7.240339674270115e-35,3.8211439173423846e-26,1.5374457290322391e-25,3.8108675847764287e-25,5.757844901771459e-20
1.6228540278697636e-09,0.08584565488985678,3.76,0.0,0.6098707499227671,0.9999780871828584,5.5126121521066935e-18,1.8680704244215996e-15,7.058345995034997e-11,7.031625589483331e-11,1.7409011010265003e-11,5.318631862136637e-17,5.1139324940564636e-18,2.639350191057116e-13,2.63976140408762e-13,6.452296426247722e-16,5.114694348290636e-16,1.750390690186407e-11,9.331417074595854e-14,3.215871973126839e-15,2.5331019455056186e-15,1.7677708289280425e-15,2.3905602403113645e-15,1.3657055267420627e-23,9.11575522110275e-23,2.3997488875361533e-17,2.196972151127456e-21,6.565263271741174e-28,2.890244795583403e-15,2.8606687824269446e-25,4.711709650688581e-30,5.817138283833098e-22,3.0166857733588124e-23,2.1912799275821868e-05,8.790505789447376e-35,4.418547986180601e-26,1.7778951734057227e-25,4.406763427055868e-25,6.046187835484546e-20
1.6997410021340992e-09,0.08584565488991011,3.76,0.0,0.6098707499185936,0.9999780871818036,6.3463652084588135e-18,2.0545858604426477e-15,7.392755637846131e-11,7.363445572936353e-11,1.822916515952362e-11,5.855117065764793e-17,5.366713626215574e-18,2.894663442823637e-13,2.8951368742782673e-13,7.412207105829491e-16,5.815964721454222e-16,1.8333225541886427e-11,1.023423923614645e-13,3.4012455350678012e-15,2.7841818969612844e-15,1.939276167372355e-15,2.62213053813438e-15,1.5679387101266145e-23,1.0008181991813182e-22,2.5974906947104137e-17,2.524035306051496e-21,7.538863288804475e-28,3.027177288562422e-15,3.2845311741117293e-25,5.6646894045563974e-30,6.39563595366033e-22,3.163996649646491e-23,2.1912799466339053e-05,1.0577217953999967e-34,5.075022398341022e-26,2.0421363210249923e-25,5.061600116678508e-25,6.334892512812044e-20
1.8535149506627703e-09,0.08584565489001673,3.76,0.0,0.6098707499102465,0.9999780871801333,8.261827334331766e-18,2.455780440606145e-15,8.061575987459006e-11,8.026727840659267e-11,1.9868230803865762e-11,7.005336445278203e-17,5.872052492932307e-18,3.4404375480216904e-13,3.44105383391297e-13,9.608025262742901e-16,7.388103803795615e-16,1.999187382374561e-11,1.2164244996169213e-13,3.7859190309872815e-15,3.3234949702658077e-15,2.306087952035132e-15,3.117288954666866e-15,2.0301863879333682e-23,1.1922085134124961e-22,3.008015423329472e-17,3.2723320954643245e-21,9.76423506321536e-28,3.3010421530082166e-15,4.253443809677909e-25,7.995273724949352e-30,7.634935938267505e-22,3.458761061848917e-23,2.1912799402944742e-05,1.4953454542121152e-34,6.576198263847061e-26,2.6464403395772513e-25,6.559099518218334e-25,6.913480645829762e-20
1.9919115043385744e-09,0.08584565489011267,3.76,0.0,0.609870749902734,0.9999780871785282,1.0290360395922554e-17,2.8493147516988247e-15,8.663515663867473e-11,8.623274338997101e-11,2.1341977452692192e-11,8.128544112584135e-17,6.326602944128073e-18,3.9716554490451544e-13,3.9724228835259894e-13,1.192114358133331e-15,9.003736037631004e-16,2.1484670706150483e-11,1.4042868905840049e-13,4.149123399805372e-15,3.851588102896361e-15,2.6633437841920567e-15,3.599410851557619e-15,2.5166791112329994e-23,1.3793010103898295e-22,3.3933452417070225e-17,4.0607753263072555e-21,1.210620817594448e-27,3.5475203925934477e-15,5.273275285094113e-25,1.0646429916045937e-29,8.844131814280375e-22,3.7242116624803015e-23,2.1912799442032548e-05,1.9940854533822073e-34,8.15688284210136e-26,3.2828258854959975e-25,8.13600250723965e-25,7.435681551269379e-20
2.1303080580143785e-09,0.08584565489020855,3.76,0.0,0.6098707498952216,0.9999780871768151,1.2631985106879701e-17,3.2739889643509256e-15,9.265456800501049e-11,9.219435003328657e-11,2.2814390696714272e-11,9.335070675630992e-17,6.780912422440841e-18,4.540736197333858e-13,4.5416779285998563e-13,1.4577974260852472e-15,1.0817058948103706e-15,2.2977481289416083e-11,1.6055488872332796e-13,4.529670256578596e-15,4.420538408341868e-15,3.046287396173051e-15,4.116068915028385e-15,3.075004413091912e-23,1.5806067210315882e-22,3.7923716640722946e-17,4.96656280734183e-21,1.479373237652674e-27,3.793998501166855e-15,6.443786296680344e-25,1.3903686021131872e-29,1.0142213822171943e-21,3.9898163307373973e-23,2.1912799583982476e-05,2.607897872359e-34,9.9717047542611e-26,4.0135568728251293e-25,9.946580078104435e-25,7.959417517192818e-20
2.2687046116901826e-09,0.08584565489030445,3.76,0.0,0.609870749887709,0.9999780871751559,1.5310676715590206e-17,3.730177471894683e-15,9.867399568692898e-11,9.81521008320609e-11,2.42854751219198e-11,1.0624859080644104e-16,7.234981081780172e-18,5.147629716421447e-13,5.148770595346529e-13,1.7602164950545747e-15,1.2834586961232594e-15,2.4470306515982932e-11,1.8201942436580128e-13,4.928752373013839e-15,5.030724862338256e-15,3.4549081582003636e-15,4.667240799527585e-15,3.71003702372939e-23,1.7962869376360293e-22,4.203942764072235e-17,5.997807059735849e-21,1.785009486447946e-27,4.040476478842975e-15,7.775213225230434e-25,1.7852211190660484e-29,1.1529180464236452e-21,4.255575064146216e-23,2.19127996668034e-05,3.3532422592796717e-34,1.2036620048832255e-25,4.845079854023149e-25,1.2006777238069e-24,8.484824021116977e-20
2.4071011653659867e-09,0.08584565489040033,3.76,0.0,0.6098707498801964,0.9999780871735725,1.835072984533453e-17,4.218253923187249e-15,1.0469344145810249e-10,1.0410599828001566e-10,2.5755235367965314e-11,1.199785231513654e-16,7.688809075897872e-18,5.792285974715344e-13,5.793652561489684e-13,2.101732962198677e-15,1.5062197418479283e-15,2.596314732689355e-11,2.048206766331599e-13,5.3475607611563395e-15,5.682525757686964e-15,3.889194467100347e-15,5.2529041756199104e-15,4.4266370090376464e-23,2.0265156173824983e-22,4.62701278245769e-17,7.162614751313097e-21,2.1298482826221286e-27,4.286954325736052e-15,9.277762633039131e-25,2.2583144264405947e-29,1.3005030242841844e-21,4.521487860230868e-23,2.1912799668671212e-05,4.247792864626595e-34,1.4367540383716715e-25,5.783825954558064e-25,1.4332497663609502e-24,9.012036153774802e-20
2.683894272717595e-09,0.08584565489059201,3.76,0.0,0.6098707498651712,0.9999780871704066,2.5614050859834687e-17,5.291560708826282e-15,1.1673239466521032e-10,1.1600224308732628e-10,2.8690802141992274e-11,1.499322547552773e-16,8.595743682735882e-18,7.194686868424347e-13,7.196591418292026e-13,2.9114830618961254e-15,2.016794578817621e-15,2.8948879457362636e-11,2.5442688634879736e-13,6.249109624681569e-15,7.112479862674894e-15,4.834712475311223e-15,6.527616183576404e-15,6.123890352075195e-23,2.531391408879411e-22,5.504005608314682e-17,9.92531126447214e-21,2.9463479436907376e-27,4.779909627628274e-15,1.2836874157099991e-24,3.479273145287492e-29,1.6223373219595386e-21,5.0537756305197456e-23,2.191279965581315e-05,6.562628716501839e-34,1.9890772418081962e-25,8.008618065294214e-25,1.9843871278057024e-24,1.0072415304653392e-19
