Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68)
7.353974314479672e-11,0.573122032666594,3.76,0.0,0.5527234743900589,0.9999999991185027,1.0112097802878348e-19,1.5211987255453849e-15,3.4355283154054335e-08,3.4352225287979434e-08,8.784315019340796e-10,6.706767992233293e-18,7.637006624994272e-17,3.0543450174380067e-12,3.0532624020953822e-12,1.3476971594530943e-15,1.3446330452915355e-15,8.784352038293817e-10,2.200905042233614e-15,2.576324202242666e-16,3.90428608680148e-15,1.4226334152953637e-15,3.1698234270647173e-15,2.1023228988299793e-23,3.664452057275087e-24,4.303714853259094e-16,5.632795589108123e-21,5.881962026699536e-28
9.683946384290765e-11,0.5731220338408208,3.76,0.0,0.5527234632269009,0.9999999988379392,2.273489883011766e-19,2.6899427389020346e-15,4.5240124793027576e-08,4.523482262614021e-08,1.1567449678619032e-09,1.1897965694082774e-17,1.312201405470967e-16,5.295886983211891e-12,5.2935329534650984e-12,2.9860936406578135e-15,2.9776857711232733e-15,1.1567512591186519e-09,3.815022362116627e-15,5.708738664971852e-16,6.744652942823049e-15,2.471658543150752e-15,5.496289334980493e-15,4.659080749983682e-23,1.0305397157652766e-23,7.414063318373979e-16,1.2481701357563608e-20,1.3035344781130777e-27
9.999999999999999e-11,0.5731220350150477,3.76,0.0,0.5527234617126524,0.9999999987998344,2.5050457988614775e-19,2.8763208092814846e-15,4.671662039149537e-08,4.6710966518697344e-08,1.194497293553546e-09,1.272764133607763e-17,1.3974350925735894e-16,5.6471496984139955e-12,5.644567032618487e-12,3.2828776383360378e-15,3.273359442098812e-15,1.194503982637352e-09,4.0678964098155986e-15,6.276186546740639e-16,7.191745829558135e-15,2.6363483434651802e-15,5.86087098262945e-15,5.122268865879774e-23,1.1705646387827797e-23,7.898560647562512e-16,1.3722430386455325e-20,1.433126665616048e-27
1.2013918454101857e-10,0.5731220350150477,3.76,0.0,0.5527234520637428,0.9999999985567611,4.31905617798178e-19,4.2201542911381004e-15,5.612496614898392e-08,5.6116805929319286e-08,1.4350578053853744e-09,1.8718606892854095e-17,2.0013245313137739e-16,8.150285521175254e-12,8.145930786118309e-12,5.592252945128176e-15,5.5734968419462336e-15,1.435067290858549e-09,5.8695758809717585e-15,1.0691826649548808e-15,1.0387447008129091e-14,3.81140960467499e-15,8.458971669187734e-15,8.726697768614697e-23,2.3430403434413822e-23,1.133699510236749e-15,2.3377368381127252e-20,2.4415842392243294e-27
1.6673862593724042e-10,0.5731220373635015,3.76,0.0,0.552723429737427,0.9999999979925612,1.155980475828175e-18,8.433150503967954e-15,7.789464802181781e-08,7.787893055709961e-08,1.9916817691294814e-09,3.756932421670494e-17,3.787040122009928e-16,1.56973017616042e-11,1.56861363949527e-11,1.4554640498886557e-14,1.4490204583155612e-14,1.991699284884536e-09,1.1298312966799996e-14,2.7830640579946335e-15,2.014818294751385e-14,7.369039940129506e-15,1.6292851859751436e-14,2.2718126417738803e-22,8.274808791271877e-23,2.1561142368297126e-15,6.085370999606695e-20,6.3561373931125355e-27
2.1333806733346226e-10,0.5731220397119559,3.76,0.0,0.5527234074111111,0.9999999974259028,2.4519501081843994e-18,1.4307629171370618e-14,9.966432879686919e-08,9.963859944465661e-08,2.5483037720616447e-09,6.394057313748528e-17,6.090278649715848e-16,2.5694635309743423e-11,2.5671777415766527e-11,3.006599018448699e-14,2.990157790596142e-14,2.54833118849031e-09,1.8483488350189975e-14,5.749793194832132e-15,3.3333274823282806e-14,1.2108225879975868e-14,2.6671174648146344e-14,4.693969149836121e-22,2.148949388385446e-22,3.484922718793658e-15,1.2572905766975068e-19,1.3132881065813255e-26
2.599375087296841e-10,0.5731220420604108,3.76,0.0,0.5527233850847948,0.9999999968567864,4.523965602614352e-18,2.1998770883852684e-14,1.2143400850760456e-07,1.2139581287970075e-07,3.1049242208700532e-09,9.851334746926574e-17,8.88048777259355e-16,3.814148728347504e-11,3.810064248265338e-11,5.4052624914213524e-14,5.370047783589141e-14,3.104963004394022e-09,2.7421290822109767e-14,1.033829316946643e-14,5.009719988400026e-14,1.8041856366149608e-14,3.959363537905449e-14,8.440565145678395e-22,4.653773100708774e-22,5.1072459350812474e-15,2.260747154390082e-19,2.3615128660409578e-26
3.0653695012590596e-10,0.5731220444088665,3.76,0.0,0.5527233627584772,0.999999996285212,7.595445628152397e-18,3.16603876616718e-14,1.4320368719741891e-07,1.4315057114745228e-07,3.6615435289171167e-09,1.4191711229409614e-16,1.212940967042376e-15,5.303706501908909e-11,5.29705407231214e-11,8.842268386562892e-14,8.77516530911099e-14,3.6615947352893578e-09,3.810795211483146e-14,1.691424506755699e-14,7.059306288281581e-14,2.518210075938795e-14,5.505993192373721e-14,1.3810486339726087e-21,8.928047181890654e-22,7.010925624833786e-15,3.698929375316995e-19,3.863907709808422e-26
3.997358329183497e-10,0.5731220491057812,3.76,0.0,0.5527233181058379,0.9999999951346898,1.774112387311947e-17,5.748477828363363e-14,1.867430417516099e-07,1.8665272327516347e-07,4.774780378807729e-09,2.5734663333694607e-16,1.9907700392954026e-15,9.017135308558699e-11,9.002504354595303e-11,1.9562072334222788e-13,1.9368117038519057e-13,4.774857952379641e-09,6.47134686636839e-14,3.7430646202788164e-14,1.2336755157512774e-13,4.3125176720989477e-14,9.362287282405247e-14,3.056710406680164e-21,2.600012518160101e-21,1.1619660677404546e-14,8.186435514554293e-19,8.552042604276728e-26
4.779423989362555e-10,0.5731220530471373,3.76,0.0,0.5527232806361807,0.9999999941616592,3.162255759137224e-17,8.65643628877819e-14,2.232784921922032e-07,2.231493828276846e-07,5.7089380510652905e-09,3.8623248332743104e-16,2.7636314769948364e-15,1.2888339714897853e-10,1.2863435632096906e-10,3.3407071427603353e-13,3.3011744529077894e-13,5.709037294298094e-09,9.240473964932735e-14,6.39371143826567e-14,1.804925490623393e-13,6.200196504227687e-14,1.3383155877856349e-13,5.2220092673650656e-21,5.317565855709341e-21,1.6259761477161603e-14,1.3984825827610502e-18,1.4610038797614794e-25
