Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131),H(5),CFO2(136),CO2(13),F(37),HO2(10),[O]OC(F)F(168),H2(7),O(6),CF2O(48),CHFO(46),FC(F)C(F)F(179),CHF3(41),[O]C(F)F(170),CO(12),CHF2-CF2(68),CF2(42),CHFCF2(54),C2HF4O2(637),FC1(F)OO1(934),CF2O2(144)
1.8342934255333942e-11,0.1448406118807896,3.76,0.0,0.5817461165069082,0.9999999999886683,5.211565890072167e-22,1.2811282550109567e-17,1.6159174417817667e-10,1.6158368357373523e-10,1.1323097515981508e-11,9.912341467685488e-20,9.208109328813395e-19,8.034228296843184e-15,8.033873094227726e-15,6.69166194148063e-19,6.697792461667047e-19,1.1323295017723482e-11,1.8404375787910727e-16,6.120532040868859e-14,2.6157554751508235e-17,1.2727925547685054e-17,2.5042852880430292e-17,3.3567878200528726e-25,1.43844180602984e-28,9.854268078152069e-19,3.403948377385354e-24,4.0020959268673497e-29,6.120507690469751e-14,1.9261906966158247e-26,1.070207428249655e-33,9.814385744709077e-23,6.327038096883073e-22
2.305060857149898e-11,0.14484061188191455,3.76,0.0,0.5817461164625143,0.999999999985758,9.475976679244192e-22,1.9621273666050098e-17,2.0306391504422036e-10,2.030515869532857e-10,1.4229092146083914e-11,1.588518124037185e-19,1.397125216884781e-18,1.2287652302632704e-14,1.2287018330565824e-14,1.2154739502035706e-18,1.215505510015387e-18,1.422939414386894e-11,2.8147559109725695e-16,7.691366590319786e-14,4.002690972910972e-17,1.9468827501673772e-17,3.830117225989433e-17,5.199639140363277e-25,3.200059769242896e-28,1.5048333278074465e-18,6.183003498899312e-24,7.365357914512666e-29,7.691322545605859e-14,2.9905937615566813e-26,2.2767161752428112e-33,1.6527739021596442e-22,9.518208266439583e-22
2.775828288766402e-11,0.14484061188303948,3.76,0.0,0.5817461164181204,0.9999999999828465,1.5679286311948169e-21,2.796765814327788e-17,2.4453608590733493e-10,2.4451853875742403e-10,1.7135063524624516e-11,2.365148460328699e-19,1.97252631612322e-18,1.748944860094877e-14,1.7488414429569487e-14,2.00907853754554e-18,2.0075968224315532e-18,1.7135493275617563e-11,4.006293303468519e-16,9.262209899866619e-14,5.700530773996065e-17,2.771440155873881e-17,5.4515859405158746e-17,7.497132236108854e-25,6.293272278051289e-28,2.1385604643688257e-18,1.0220112975354877e-23,1.230687918969457e-28,9.262137324265667e-14,4.3220449677484366e-26,4.3357910476391995e-33,2.56768674983824e-22,1.332287347114673e-21
3.71736315199941e-11,0.14484061188528935,3.76,0.0,0.5817461163293324,0.9999999999770207,3.6215905284247275e-21,4.939517792670052e-17,3.27480427627671e-10,3.274495342845993e-10,2.294693533254969e-11,4.561103268478392e-19,3.4115483986870463e-18,3.079119250291691e-14,3.078885627288414e-14,4.628569902702254e-18,4.618156211889601e-18,2.2947691568217563e-11,7.053125082703105e-16,1.2403933086910386e-13,1.0050266035643607e-16,4.880735673614862e-17,9.598010930115927e-17,1.3573019949244107e-24,1.9932597724572943e-27,3.752131014700307e-18,2.3546043851935882e-23,2.874634971403813e-28,1.2403766647858512e-13,7.863224787507325e-26,1.331536028002166e-32,5.319222543447858e-22,2.262185541699197e-21
4.6588980152324176e-11,0.1448406118875392,3.76,0.0,0.5817461162405444,0.9999999999711907,6.96891164875304e-21,7.715429903595491e-17,4.1042476934397233e-10,4.10376664133703e-10,2.8758712934077854e-11,7.697449417866474e-19,5.2204178227274524e-18,4.7945279773755675e-14,4.794084965046102e-14,8.885050760605235e-18,8.854057215067536e-18,2.875988991097464e-11,1.0982204976831002e-15,1.554571426442044e-13,1.567196068735146e-16,7.602068859553021e-17,1.4945432110485896e-16,2.17046685477214e-24,4.78779796045303e-27,5.822702412477874e-18,4.5200436453668256e-23,5.555345809471446e-28,1.55453956607517e-13,1.263114762913396e-25,3.1550940461204646e-32,9.44837995576276e-22,3.4007676464524075e-21
6.541967741698434e-11,0.14484061189203892,3.76,0.0,0.5817461160629684,0.9999999999595193,1.9259540335071033e-20,1.519794564634941e-16,5.763134528038538e-10,5.762193194907642e-10,4.038198618771242e-11,1.7433329439220583e-18,9.849605866900743e-18,9.381668900893191e-14,9.380470085772321e-14,2.441715084534768e-17,2.427064670088321e-17,4.038428683825516e-11,2.1488170631105758e-15,2.1829525285145376e-13,3.0763400914606566e-16,1.488455655173038e-16,2.9245538924948786e-16,4.483199636427882e-24,1.899224883375176e-26,1.1311478711056442e-17,1.2422378516226344e-22,1.5341558591751204e-27,2.182865275377697e-13,2.632030832643277e-25,1.2471389443169158e-31,2.2899727247015976e-21,6.193917338829365e-21
9.999999999999999e-11,0.14484061190103834,3.76,0.0,0.5817461157368715,0.9999999999380446,7.107774226210223e-20,3.580966470904684e-16,8.809481731527637e-10,8.807292224185681e-10,6.172576277111589e-11,5.037487045153124e-18,2.1393612627394865e-17,2.1819715499393058e-13,2.1815405320121893e-13,8.904746012949529e-17,8.808570665275938e-17,6.173110237630313e-11,4.9971291529152325e-15,3.3370271700797816e-13,7.200396027850752e-16,3.4659894708721985e-16,6.802397742902657e-16,1.1499720009537432e-23,1.1170626485419655e-25,2.5939218546671602e-17,4.530946481591694e-22,5.59912878008986e-27,3.336709942416257e-13,6.850357673476315e-25,7.455074083235789e-31,6.989145624853588e-21,1.2670033170830565e-20
1.0308107194630465e-10,0.14484061190103834,3.76,0.0,0.5817461157078166,0.9999999999361286,7.753221795306355e-20,3.8077822880134333e-16,9.080908202301424e-10,9.078582169905219e-10,6.362741058833429e-11,5.4256259342910346e-18,2.2613354620747064e-17,2.3180135415823533e-13,2.317543974164995e-13,9.707443763536245e-17,9.600215424225375e-17,6.363308224557226e-11,5.308648924086158e-15,3.4398620965869323e-13,7.65282937144487e-16,3.6824063512221667e-16,7.226555138756343e-16,1.2298878782718636e-23,1.2415302866304011e-25,2.7528283644434746e-17,4.939412071976553e-22,6.103793492859859e-27,3.4395163208635947e-13,7.333291508492969e-25,8.290729519178177e-31,7.54787562328531e-21,1.333166434304444e-20
1.7840386100494527e-10,0.14484061191903708,3.76,0.0,0.5817461149975128,0.9999999998891571,4.2457252503434563e-19,1.1704755072568177e-15,1.5716455623171659e-09,1.5709503997415585e-09,1.1011381911546059e-10,2.1905595757882962e-17,5.88000547834308e-17,6.926409807995609e-13,6.923932910764245e-13,5.179395414217277e-16,5.0702879282529685e-16,1.1013068400321496e-10,1.585880425700043e-14,5.954657679868856e-13,2.3191713828249353e-15,1.103168346382843e-15,2.159723316512999e-15,4.4284007202582876e-23,1.1871376012655127e-24,7.976032918190561e-17,2.636198711688632e-21,3.25004444135858e-26,5.95281691929661e-13,2.703089197031367e-24,8.138542380673634e-30,3.07482391047187e-20,3.128979235567603e-20
2.5372665006358587e-10,0.14484061193703565,3.76,0.0,0.5817461142872088,0.999999999841932,1.209271299062692e-18,2.4231211354641078e-15,2.235200323437701e-09,2.2337951619770293e-09,1.56594372754585e-10,5.2697169513656297e-17,1.0585953130404795e-16,1.3998379814811692e-12,1.3991484533952097e-12,1.4481618207370924e-15,1.407376462509345e-15,1.5662830650572096e-10,3.204411744300756e-14,8.47125850791984e-13,4.744391410519543e-15,2.2343535382342136e-15,4.3654886507615514e-15,1.0274776408408319e-22,4.490383011778693e-24,1.5696387205919232e-16,7.372415433619755e-21,9.076224852857248e-26,8.46611552767461e-13,6.3630953429605966e-24,3.024337297268141e-29,7.273472043355766e-20,5.219903983360937e-20
3.290494391222265e-10,0.1448406119550341,3.76,0.0,0.5817461135769044,0.9999999997944534,2.6212981190744656e-18,4.166857044265213e-15,2.898755120053344e-09,2.896392590575029e-09,2.0306916630729346e-10,1.0014502066583581e-16,1.6015946811380377e-16,2.3532018251068323e-12,2.35173631878631e-12,3.0859837067967646e-15,2.9788269004939674e-15,2.031259583493604e-10,5.385692867058635e-14,1.0990367641841293e-12,8.068706176306164e-15,3.763662467936587e-15,7.339683099762478e-15,1.9422034334362368e-22,1.201627358257618e-23,2.572472706671112e-16,1.5713551052673254e-20,1.9326089046954983e-25,1.0979412145989546e-12,1.2157066260186251e-23,7.934043084543572e-29,1.3513554969142433e-19,7.435612934635687e-20
4.043722281808671e-10,0.1448406119730324,3.76,0.0,0.5817461128665998,0.9999999997467215,4.867489665419984e-18,6.430746948675247e-15,3.562309973882378e-09,3.558742776010931e-09,2.49538302433182e-10,1.6591791687530373e-16,2.1910936840365665e-16,3.5525344226440334e-12,3.549862905262648e-12,5.636112732651469e-15,5.404370287280458e-15,2.4962364841354905e-10,8.128932410592469e-14,1.3512711329493361e-12,1.2320786348467245e-14,5.692885251974126e-15,1.1082026318524152e-14,3.2544995000420313e-22,2.6438587602045843e-23,3.7879373476503936e-16,2.870432387194742e-20,3.5277912512049394e-25,1.3492706774238712e-12,2.0543527812431294e-23,1.7160702738496722e-28,2.1873370379437123e-19,9.69410561058847e-20
5.550178062981484e-10,0.14484061200902865,3.76,0.0,0.581746111445989,0.999999999650497,1.2691485100580878e-17,1.2626597472119866e-14,4.889419960008262e-09,4.88270175372825e-09,3.4246000903165633e-10,3.558275502540859e-16,3.45670427137298e-16,6.688368760400775e-12,6.681641116050787e-12,1.423102658907317e-14,1.3468646095646454e-14,3.4261917608747176e-10,1.5298362140496852e-13,1.856979209696952e-12,2.3714392153495803e-14,1.0756980578131571e-14,2.0870113932523292e-14,7.3218834747106665e-22,8.964029410968354e-23,6.79671742653876e-16,7.250641919719753e-20,8.902347462072848e-25,1.8519290060538134e-12,4.6793126448966715e-23,5.659109814018694e-28,4.502461881854274e-19,1.426311427535566e-19
7.056633844154296e-10,0.1448406120450245,3.76,0.0,0.5817461100253754,0.9999999995532597,2.653816439561657e-17,2.1243282857755658e-14,6.216530538591886e-09,6.205672822432937e-09,4.3536039746040095e-10,6.283040026915696e-16,4.763426012864458e-16,1.0805745789874913e-11,1.079212363061281e-11,2.8870629088908835e-14,2.6981160500194187e-14,4.3561496061780293e-10,2.4706387594711875e-13,2.3648315767040735e-12,3.9154662883591396e-14,1.7438763898194055e-14,3.3727489891245436e-14,1.3770451281720213e-21,2.2733352188027133e-22,1.0472713610279989e-15,1.4715131490444569e-19,1.8055381401099987e-24,2.3545865386569248e-12,8.878652051246304e-23,1.4070079015112136e-27,7.684557087591883e-19,1.8801852050547665e-19
